line_no,row_no,dataset_index,model_label,request_model,selected_model,command,det_pass,sdet,script_similarity,fatal_reasons,reference_script,predicted_script,predicted_services
80,80,20,local_8b (version0_13),gpt_mg.version0_13,local_8b,"집에 있는 재실 센서중 하나라도 감지 상태이면, 긴급 사이렌을 울려줘.",True,0.79602,0.79602,,"
if (all(#House #PresenceSensor).PresenceSensor_Presence ==| true) {

    (#Siren).Siren_SetSirenMode(""emergency"")

}","if ((#PresenceSensor).presenceSensor_presence == ""present"") {
  (#Siren).sirenMode_setSirenMode(""siren"")
}","presenceSensor_presence, sirenMode_setSirenMode"
81,81,21,local_8b (version0_13),gpt_mg.version0_13,local_8b,"입구의 접촉 센서가 감지 상태이면, 긴급 사이렌을 울려줘.",True,0.8,0.8,,"
if ((#Entrance #ContactSensor).ContactSensor_Contact == true) {

    (#Siren).Siren_SetSirenMode(""emergency"")

}","if ((#ContactSensor).contactSensor_contact == ""detected"") {
  (#Siren).sirenMode_setSirenMode(""siren"")
}","contactSensor_contact, sirenMode_setSirenMode"
82,82,22,local_8b (version0_13),gpt_mg.version0_13,local_8b,"지금 비가 오고 있으면, 집안의 모든 제습기를 건조 모드로 설정해줘.",True,0.584746,0.584746,,"
if ((#RainSensor).RainSensor_Rain == true) {

    all(#House #Dehumidifier).Dehumidifier_SetDehumidifierMode(""drying"")

}","if ((#WeatherProvider).weatherProvider_weather == ""rain"") {
  all(#Dehumidifier).dehumidifierMode_setDehumidifierMode(""dehumidifying"")
}","dehumidifierMode_setDehumidifierMode, weatherProvider_weather"
83,83,23,local_8b (version0_13),gpt_mg.version0_13,local_8b,"거실 조도가 200 럭스 이상이면, 거실 불을 꺼줘.",True,0.714286,0.714286,,"
if ((#LivingRoom #LightSensor).LightSensor_Brightness >= 200) {

    (#LivingRoom #Light).Switch_Off()

}","if ((#LightSensor).lightLevel_light >= 200) {
  (#Light).switch_off()
}","lightLevel_light, switch_off"
84,84,24,local_8b (version0_13),gpt_mg.version0_13,local_8b,"구역1의 온도가 36.5도 이상이면, 에어컨을 30도로 설정해줘.",True,0.69145,0.69145,,"
if ((#Sector1 #TemperatureSensor).TemperatureSensor_Temperature >= 36.5) {

    (#Sector1 #AirConditioner).AirConditioner_SetTargetTemperature(30)

}","if ((#TemperatureSensor_Area1).temperatureMeasurement_temperature >= 36.5) {
  (#AirConditioner_Area1).airConditionerMode_setTemperature(30)
}","airConditionerMode_setTemperature, temperatureMeasurement_temperature"
85,85,25,local_8b (version0_13),gpt_mg.version0_13,local_8b,"농장의 이산화탄소 농도가 800ppm 이상이면, 긴급 사이렌을 울려줘.",True,0.65,0.65,,"
if ((#Farm #AirQualitySensor).AirQualitySensor_CarbonDioxide >= 800) {

    (#Siren).Siren_SetSirenMode(""emergency"")

}","if ((#FarmGasSensor).gasMeter_gasMeter >= 800) {
  (#EmergencySiren).sirenMode_setSirenMode(""siren"")
}","gasMeter_gasMeter, sirenMode_setSirenMode"
86,86,26,local_8b (version0_13),gpt_mg.version0_13,local_8b,"회의실 온도가 20도 미만이면, 회의실 문을 닫아줘.",True,0.657005,0.657005,,"
if ((#MeetingRoom #AirQualitySensor).AirQualitySensor_Temperature < 20) {

    (#MeetingRoom #Door).Door_Close()

}","if ((#TemperatureSensor).temperatureMeasurement_temperature < 20.0) {
  (#MeetingRoomDoor).windowControl_close()
}","temperatureMeasurement_temperature, windowControl_close"
87,87,27,local_8b (version0_13),gpt_mg.version0_13,local_8b,"회의실 조명이 꺼져 있으면, 조명을 켜줘.",True,0.701493,0.701493,,"
if ((#MeetingRoom #Light).Switch_Switch == false) {

    (#MeetingRoom #Light).Switch_On()

}","if ((#Light).switch_switch == ""off"") {
  (#Light).switch_on()
}","switch_on, switch_switch"
88,88,28,local_8b (version0_13),gpt_mg.version0_13,local_8b,"안방 온도가 36.5도 이상이면, 에어컨을 30도로 설정해줘.",True,0.817121,0.817121,,"
if ((#Bedroom #TemperatureSensor).TemperatureSensor_Temperature >= 36.5) {

    (#Bedroom #AirConditioner).AirConditioner_SetTargetTemperature(30)

}","if ((#TemperatureSensor).temperatureMeasurement_temperature >= 36.5) {
  (#AirConditioner).airConditionerMode_setTemperature(30)
}","airConditionerMode_setTemperature, temperatureMeasurement_temperature"
89,89,29,local_8b (version0_13),gpt_mg.version0_13,local_8b,"거실에 움직임이 감지되고 있으면, 조명을 켜줘.",True,0.7625,0.7625,,"
if ((#LivingRoom #MotionSensor).MotionSensor_Motion == true) {

    (#LivingRoom #Light).Switch_On()

}","if ((#MotionSensor).motionSensor_motion == ""active"") {
  (#Light).switch_on()
}","motionSensor_motion, switch_on"
90,90,30,local_8b (version0_13),gpt_mg.version0_13,local_8b,연구실 습도가 50 이상이면 제습기를 켜고 50 미만이면 가습기를 켜줘.,True,0.823045,0.823045,,"
if ((#Lab #HumiditySensor).HumiditySensor_Humidity >= 50) {

    (#Lab #Dehumidifier).Switch_On()

} else {

    (#Lab #Humidifier).Switch_On()

}","if ((#HumiditySensor).relativeHumidityMeasurement_humidity >= 50) {
  (#Dehumidifier).switch_on()
} else {
  (#Humidifier).switch_on()
}","relativeHumidityMeasurement_humidity, switch_on"
91,91,1,local_8b (version0_13),gpt_mg.version0_13,local_8b,접촉 센서가 감지되면 조명을 켜줘.,True,0.807947,0.807947,,"
wait until ((#ContactSensor).ContactSensor_Contact == true)

(#Light).Switch_On()","if ((#ContactSensor).contactSensor_contact == ""detected"") {
  (#Light).switch_on()
}","contactSensor_contact, switch_on"
92,92,2,local_8b (version0_13),gpt_mg.version0_13,local_8b,재실 센서가 감지되면 TV를 켜줘.,True,0.628931,0.628931,,"
wait until ((#PresenceSensor).PresenceSensor_Presence == true)

(#Television).Switch_On()","if ((#MotionSensor).motionSensor_motion == ""active"") {
  (#Television).switch_on()
}","motionSensor_motion, switch_on"
93,93,3,local_8b (version0_13),gpt_mg.version0_13,local_8b,소리 센서의 수치가 50보다 커지면 스피커 재생을 멈춰줘.,True,0.547945,0.547945,,"
wait until ((#SoundSensor).SoundSensor_Sound > 50)

(#Speaker).Speaker_Stop()","if ((#SoundSensor).soundSensor_sound == ""detected"") {
  wait until ((#SoundSensor).soundPressureLevel_soundPressureLevel <= 50)
  (#Speaker).mediaPlayback_stop()
}","mediaPlayback_stop, soundPressureLevel_soundPressureLevel, soundSensor_sound"
94,94,4,local_8b (version0_13),gpt_mg.version0_13,local_8b,비가 오면 제습기를 켜줘.,True,0.423077,0.423077,,"
wait until ((#RainSensor).RainSensor_Rain == true)

(#Dehumidifier).Switch_On()","if ((#WeatherProvider).weatherProvider_weather == ""rain"") {
  (#Dehumidifier).switch_on()
}","switch_on, weatherProvider_weather"
95,95,5,local_8b (version0_13),gpt_mg.version0_13,local_8b,밝기가 100 럭스 미만이 되면 조명을 켜줘.,True,0.75188,0.75188,,"
wait until ((#LightSensor).LightSensor_Brightness < 100)

(#Light).Switch_On()","if ((#LightSensor).lightLevel_light < 100) {
  (#Light).switch_on()
}","lightLevel_light, switch_on"
96,96,6,local_8b (version0_13),gpt_mg.version0_13,local_8b,이산화탄소 농도가 1000ppm 이상이 되면 긴급 사이렌을 울려줘.,True,0.57732,0.57732,,"
wait until ((#CarbonDioxideSensor).CarbonDioxideSensor_CarbonDioxide >= 1000)

(#Siren).Siren_SetSirenMode(""emergency"")","if ((#GasMeter).gasMeter_gasMeter >= 1000) {
  (#Siren).sirenMode_setSirenMode(""siren"")
}","gasMeter_gasMeter, sirenMode_setSirenMode"
97,97,7,local_8b (version0_13),gpt_mg.version0_13,local_8b,연기가 감지되면 사이렌으로 화재경보를 울려줘.,True,0.682927,0.682927,,"
wait until ((#SmokeDetector).SmokeDetector_Smoke == true)

(#Siren).Siren_SetSirenMode(""fire"")","if ((#SmokeDetector).smokeDetector_smoke == ""detected"") {
  (#Siren).alarm_siren()
}","alarm_siren, smokeDetector_smoke"
98,98,8,local_8b (version0_13),gpt_mg.version0_13,local_8b,버튼이 세번 눌리면 벨브를 열어줘.,True,0.719101,0.719101,,"wait until ((#Button).Button_Button == ""pushed_3x"")

(#Valve).Valve_Open()","count := 0
if (count < 3) {
  wait until ((#Button).button_button == ""pushed_3x"")
  count = 3
}
if (count == 3) {
  (#Valve).valve_open()
}","button_button, valve_open"
99,99,9,local_8b (version0_13),gpt_mg.version0_13,local_8b,온도가 35도 이상이 되면 에어컨의 목표 온도를 30도로 설정해줘.,True,0.813008,0.813008,,"
wait until ((#TemperatureSensor).TemperatureSensor_Temperature >= 35)

(#AirConditioner).AirConditioner_SetTargetTemperature(30)","if ((#TemperatureSensor).temperatureMeasurement_temperature >= 35.0) {
  (#AirConditioner).airConditionerMode_setTemperature(30.0)
}","airConditionerMode_setTemperature, temperatureMeasurement_temperature"
100,100,10,local_8b (version0_13),gpt_mg.version0_13,local_8b,금고가 열리면 경찰 사이렌을 울려줘.,False,0.0,0.662722,unknown_services:safeBox_status,"
wait until ((#Safe).Safe_SafeState == ""unlocked"")

(#Siren).Siren_SetSirenMode(""police"")","if ((#SafeBox).safeBox_status == ""opened"") {
  (#PoliceSiren).sirenMode_setSirenMode(""siren"")
}","safeBox_status, sirenMode_setSirenMode"
101,101,11,local_8b (version0_13),gpt_mg.version0_13,local_8b,누수가 감지되면 벨브를 차단해줘.,True,0.797203,0.797203,,"
wait until ((#LeakSensor).LeakSensor_Leakage == true)

(#Valve).Valve_Close()","if ((#LeakSensor).leakSensor_leakage == ""detected"") {
  (#Valve).valve_close()
}","leakSensor_leakage, valve_close"
102,102,12,local_8b (version0_13),gpt_mg.version0_13,local_8b,습도가 80%보다 커지면 제습기를 건조 모드로 작동시켜줘.,True,0.491667,0.491667,,"
wait until ((#HumiditySensor).HumiditySensor_Humidity > 80)

(#Dehumidifier).Dehumidifier_SetDehumidifierMode(""drying"")","if ((#Dehumidifier).dehumidifierMode_dehumidifierMode != ""drying"") {
  (#Dehumidifier).dehumidifierMode_setDehumidifierMode(""drying"")
}","dehumidifierMode_dehumidifierMode, dehumidifierMode_setDehumidifierMode"
103,103,13,local_8b (version0_13),gpt_mg.version0_13,local_8b,움직임이 감지되면 조명을 켜줘.,True,0.811189,0.811189,,"
wait until ((#MotionSensor).MotionSensor_Motion == true)

(#Light).Switch_On()","if ((#MotionSensor).motionSensor_motion == ""active"") {
  (#Light).switch_on()
}","motionSensor_motion, switch_on"
104,104,14,local_8b (version0_13),gpt_mg.version0_13,local_8b,내부 초미세먼지 농도가 35 이상이 되면 공기청정기를 강하게 틀어줘.,True,0.79668,0.79668,,"
wait until ((#AirQualitySensor).AirQualitySensor_VeryFineDustLevel >= 35)

(#AirPurifier).AirPurifier_SetAirPurifierMode(""high"")","if ((#AirQualityDetector).dustSensor_fineDustLevel >= 35) {
  (#AirPurifier).airPurifierFanMode_setAirPurifierFanMode(""high"")
}","airPurifierFanMode_setAirPurifierFanMode, dustSensor_fineDustLevel"
105,105,15,local_8b (version0_13),gpt_mg.version0_13,local_8b,충전 전압이 250V보다 높아지면 충전을 중단해줘.,True,0.729927,0.729927,,"
wait until ((#Charger).Charger_Voltage > 250000)

(#Charger).Switch_Off()","if ((#Charger).voltageMeasurement_voltage > 250) {
  (#Charger).switch_off()
}","switch_off, voltageMeasurement_voltage"
106,106,16,local_8b (version0_13),gpt_mg.version0_13,local_8b,현관 도어락이 잠금해제되면 거실 조명을 켜줘.,False,0.0,0.705202,unknown_services:doorControl_lock,"
wait until ((#Entrance #DoorLock).DoorLock_DoorLockState == ""unlocked"")

(#LivingRoom #Light).Switch_On()","if ((#DoorLock).doorControl_lock == ""unlocked"") {
  (#LivingRoomLight).switch_on()
}","doorControl_lock, switch_on"
107,107,17,local_8b (version0_13),gpt_mg.version0_13,local_8b,침실에 움직임이 감지되면 침실 에어컨을 켜줘.,True,0.6,0.6,,"
wait until ((#Bedroom #MotionSensor).MotionSensor_Motion == true)

(#Bedroom #AirConditioner).AirConditioner_SetAirConditionerMode(""auto"")","if ((#MotionSensor).motionSensor_motion == ""active"") {
  (#AirConditioner).switch_on()
}","motionSensor_motion, switch_on"
108,108,18,local_8b (version0_13),gpt_mg.version0_13,local_8b,주방에 연기가 감지되면 주방 벨브를 잠궈줘.,True,0.536585,0.536585,,"
wait until ((#Kitchen #SmokeDetector).SmokeDetector_Smoke == true)

(#Kitchen #Valve).Valve_Close()","if ((#MotionSensor).motionSensor_motion == ""active"") {
  (#Valve).valve_close()
}","motionSensor_motion, valve_close"
109,109,19,local_8b (version0_13),gpt_mg.version0_13,local_8b,서재 미세먼지 농도가 30 이상이 되면 서재 공기청정기를 켜줘.,True,0.745946,0.745946,,"
wait until ((#Study #AirQualitySensor).AirQualitySensor_FineDustLevel >= 30)

(#Study #AirPurifier).Switch_On()","if ((#AirQualityDetector).dustSensor_fineDustLevel >= 30) {
  (#AirPurifier).switch_on()
}","dustSensor_fineDustLevel, switch_on"
110,110,20,local_8b (version0_13),gpt_mg.version0_13,local_8b,지하에 누수가 감지되면 메인 사이렌을 비상모드로 울려줘.,True,0.761421,0.761421,,"
wait until ((#Basement #LeakSensor).LeakSensor_Leakage == true)

(#Main #Siren).Siren_SetSirenMode(""emergency"")","if ((#LeakSensor).leakSensor_leakage == ""detected"") {
  (#Siren).sirenMode_setSirenMode(""emergency"")
}","leakSensor_leakage, sirenMode_setSirenMode"
111,111,21,local_8b (version0_13),gpt_mg.version0_13,local_8b,테라스 조도가 50 미만이 되면 테라스 조명을 켜줘.,True,0.735484,0.735484,,"
wait until ((#Terrace #LightSensor).LightSensor_Brightness < 50)

(#Terrace #Light).Switch_On()",if ((#TerraceLight).lightLevel_light < 50) { (#TerraceLight).switch_on() },"lightLevel_light, switch_on"
112,112,22,local_8b (version0_13),gpt_mg.version0_13,local_8b,차고 문이 열리면 차고 카메라로 사진을 찍어줘.,True,0.72956,0.72956,,"
wait until ((#Garage #Door).Door_DoorState == ""open"")

(#Garage #Camera).Camera_CaptureImage()","if ((#GarageDoor).doorControl_door == ""open"") {
  (#GarageCamera).camera_take()
}","camera_take, doorControl_door"
113,113,23,local_8b (version0_13),gpt_mg.version0_13,local_8b,아기방 소리가 40dB보다 커지면 거실 스피커로 아기방에 소음이 감지되었다고 말해줘.,True,0.694064,0.694064,,"
wait until ((#BabyRoom #SoundSensor).SoundSensor_Sound > 40)

(#LivingRoom #Speaker).Speaker_Speak(""아기방에 소음이 감지되었습니다."")","if ((#SoundSensor_babyRoom).soundSensor_sound > 40) {
  (#Speaker_livingRoom).mediaPlayback_speak(""아기방에 소음이 감지되었습니다."")
}","mediaPlayback_speak, soundSensor_sound"
114,114,24,local_8b (version0_13),gpt_mg.version0_13,local_8b,세탁실 건조기 회전 속도가 5 이하가 되면 거실 스피커로 세탁이 끝났다고 알려줘.,True,0.4,0.4,,"
wait until ((#LaundryRoom #LaundryDryer).LaundryDryer_SpinSpeed <= 5)

(#LivingRoom #Speaker).Speaker_Speak(""세탁이 완료되었습니다."")","if ((#Dishwasher).switch_switch == ""off"" && (#Dishwasher).irrigatorPortion_waterPortion <= 5) {
  (#Speaker).mediaPlayback_speak(""세탁이 끝났습니다."")
}","irrigatorPortion_waterPortion, mediaPlayback_speak, switch_switch"
115,115,25,local_8b (version0_13),gpt_mg.version0_13,local_8b,창고 온도가 25도 이상이 되면 창고 에어컨을 켜줘.,True,0.764706,0.764706,,"
wait until ((#Pantry #TemperatureSensor).TemperatureSensor_Temperature >= 25)

(#Pantry #AirConditioner).Switch_On()","if ((#TemperatureSensor).temperatureMeasurement_temperature >= 25.0) {
  (#AirConditioner).switch_on()
}","switch_on, temperatureMeasurement_temperature"
116,116,26,local_8b (version0_13),gpt_mg.version0_13,local_8b,욕실 습도가 70%보다 높아지면 욕실 제습기를 동결 방지 모드로 설정해줘.,True,0.776978,0.776978,,"
wait until ((#Bathroom #HumiditySensor).HumiditySensor_Humidity > 70)

(#Bathroom #Dehumidifier).Dehumidifier_SetDehumidifierMode(""freezeProtection"")","if ((#HumiditySensor).relativeHumidityMeasurement_humidity > 70.0) {
  (#Dehumidifier).dehumidifierMode_setDehumidifierMode(""freezeProtection"")
}","dehumidifierMode_setDehumidifierMode, relativeHumidityMeasurement_humidity"
117,117,27,local_8b (version0_13),gpt_mg.version0_13,local_8b,사무실 버튼이 눌리면 사무실 가습기를 모두 켜줘.,False,0.0,0.366667,unknown_services:heater_switch_on,"
wait until ((#Office #Button).Button_Button == ""pushed"")

all(#Office #Humidifier).Switch_On()",(#OfficeHeater).heater_switch_on(),heater_switch_on
118,118,28,local_8b (version0_13),gpt_mg.version0_13,local_8b,복도에 재실 센서가 하나라도 감지되면 모든 복도 조명을 보라색으로 설정해줘.,True,0.578723,0.578723,,"
wait until (all(#Hallway #PresenceSensor).PresenceSensor_Presence ==| true)

all(#Hallway #Light).ColorControl_SetColor(""128|0|128"")","if (any(#Floor).presenceSensor_presence == ""present"") {
  all(#Floor).colorControl_setColor({""h"": 270, ""s"": 100, ""l"": 50})
}","colorControl_setColor, presenceSensor_presence"
119,119,29,local_8b (version0_13),gpt_mg.version0_13,local_8b,서버실 일산화탄소 농도가 5000 ppm 이상이되면 모든 사이렌을 비상모드로 울려줘.,True,0.647303,0.647303,,"
wait until ((#ServerRoom #AirQualitySensor).AirQualitySensor_CarbonDioxide >= 5000)

all(#Siren).Siren_SetSirenMode(""emergency"")","if ((#CarbonDioxideSensor).carbonDioxideMeasurement_carbonDioxide >= 5000) {
  all(#Siren).sirenMode_setSirenMode(""emergency"")
}","carbonDioxideMeasurement_carbonDioxide, sirenMode_setSirenMode"
120,120,30,local_8b (version0_13),gpt_mg.version0_13,local_8b,안방 쉐이드 버튼이 눌리면 쉐이드를 내려줘.,True,0.658824,0.658824,,"
wait until ((#Bedroom #Shade #Button).Button_Button == ""pushed"")

(#Bedroom #Shade).WindowCovering_DownOrClose()","if ((#Button).button_button == ""pushed"") {
  (#Shade).windowShade_close()
}","button_button, windowShade_close"
121,121,1,local_8b (version0_13),gpt_mg.version0_13,local_8b,TV 채널을 7번으로 바꾸고 1시간 뒤에 11번으로 바꿔줘.,True,0.439716,0.439716,,"
(#Television).Television_SetChannel(7)

delay(1 HOUR)

(#Television).Television_SetChannel(11)","if ((#Television).tvChannel_tvChannel != 7) {
  (#Television).tvChannel_setTvChannel(7)
}
(#Clock).clock_delay(3600000)
if ((#Television).tvChannel_tvChannel != 11) {
  (#Television).tvChannel_setTvChannel(11)
}","clock_delay, tvChannel_setTvChannel, tvChannel_tvChannel"
122,122,2,local_8b (version0_13),gpt_mg.version0_13,local_8b,에어컨을 냉방 모드로 설정하고 30분 뒤에 자동 모드로 설정해줘.,True,0.752768,0.752768,,"
(#AirConditioner).AirConditioner_SetAirConditionerMode(""cool"")

delay(30 MIN)

(#AirConditioner).AirConditioner_SetAirConditionerMode(""auto"")","if ((#AirConditioner).airConditionerMode_airConditionerMode == ""cool"") {
  (#AirConditioner).airConditionerMode_setAirConditionerMode(""auto"")
}","airConditionerMode_airConditionerMode, airConditionerMode_setAirConditionerMode"
123,123,3,local_8b (version0_13),gpt_mg.version0_13,local_8b,공기청정기를 자동 모드로 설정하고 2시간 뒤에 수면 모드로 설정해줘.,True,0.795181,0.795181,,"
(#AirPurifier).AirPurifier_SetAirPurifierMode(""auto"")

delay(2 HOUR)

(#AirPurifier).AirPurifier_SetAirPurifierMode(""sleep"")","if ((#AirPurifier).airPurifierFanMode_airPurifierFanMode == ""auto"") {
  (#AirPurifier).airPurifierFanMode_setAirPurifierFanMode(""sleep"")
}","airPurifierFanMode_airPurifierFanMode, airPurifierFanMode_setAirPurifierFanMode"
124,124,4,local_8b (version0_13),gpt_mg.version0_13,local_8b,에어컨 온도를 24도로 설정하고 1시간 뒤에 26도로 설정해줘.,False,0.0,0.096386,unknown_services:airConditionerMode_temperature,"
(#AirConditioner).AirConditioner_SetTargetTemperature(24)

delay(1 HOUR)

(#AirConditioner).AirConditioner_SetTargetTemperature(26)","if ((#AirConditioner).airConditionerMode_temperature != 24) {
  (#AirConditioner).airConditionerMode_setTemperature(24)
}
wait until ((#AirConditioner).airConditionerMode_temperature == 24)
if ((#AirConditioner).airConditionerMode_temperature != 26) {
  (#AirConditioner).airConditionerMode_setTemperature(26)
}","airConditionerMode_setTemperature, airConditionerMode_temperature"
125,125,5,local_8b (version0_13),gpt_mg.version0_13,local_8b,오븐 모드를 베이크로 설정하고 10분 뒤에 데우기 모드로 바꿔줘.,False,0.0,0.572687,"unknown_services:ovenMode_ovenMode,ovenMode_setOvenMode","
(#Oven).Oven_SetOvenMode(""Bake"")

delay(10 MIN)

(#Oven).Oven_SetOvenMode(""warming"")","if ((#Oven).ovenMode_ovenMode == ""off"") {
  (#Oven).ovenMode_setOvenMode(""bake"")
  wait until (#Clock).clock_delay(600000)
  (#Oven).ovenMode_setOvenMode(""toast"")
}","clock_delay, ovenMode_ovenMode, ovenMode_setOvenMode"
126,126,6,local_8b (version0_13),gpt_mg.version0_13,local_8b,재실 센서에 감지가 되면 1분 뒤에 사진을 찍어줘.,True,0.751174,0.751174,,"
wait until ((#PresenceSensor).PresenceSensor_Presence == true)

delay(1 MIN)

(#Camera).Camera_CaptureImage()","wait until ((#PresenceSensor).presenceSensor_presence == ""present"")
(#Clock).clock_delay(60000)
(#Camera).camera_take()","camera_take, clock_delay, presenceSensor_presence"
127,127,7,local_8b (version0_13),gpt_mg.version0_13,local_8b,오븐이 가열 모드가 되면 3초 뒤에 전자레인지 모드로 바꿔줘.,False,0.0,0.651163,"unknown_services:microwaveMode_setMicrowaveMode,ovenMode_ovenMode","
wait until ((#Oven).Oven_OvenMode == ""heating"")

delay(3 SEC)

(#Oven).Oven_SetOvenMode(""Microwave"")","if ((#Oven).ovenMode_ovenMode == ""heating"") {
  (#Clock).clock_delay(3000)
  (#Microwave).microwaveMode_setMicrowaveMode(""microwave"")
}","clock_delay, microwaveMode_setMicrowaveMode, ovenMode_ovenMode"
128,128,8,local_8b (version0_13),gpt_mg.version0_13,local_8b,"습도가 30%보다 낮아지면 3초 뒤에 스피커로 ""습도가 낮습니다""를 출력해.",True,0.692641,0.692641,,"
wait until ((#HumiditySensor).HumiditySensor_Humidity < 30)

delay(3 SEC)

(#Speaker).Speaker_Speak(""습도가 낮습니다"")","if ((#HumiditySensor).relativeHumidityMeasurement_humidity < 30) {
  (#Clock).clock_delay(3000)
  (#Speaker).mediaPlayback_speak(""습도가 낮습니다"")
}","clock_delay, mediaPlayback_speak, relativeHumidityMeasurement_humidity"
129,129,9,local_8b (version0_13),gpt_mg.version0_13,local_8b,비가 오면 문을 닫고 1시간 뒤에 체크해서 비가 안오면 문을 다시 열어줘.,True,0.404834,0.404834,,"
wait until ((#RainSensor).RainSensor_Rain == true)

(#Door).Door_Close()
delay(1 HOUR)

if ((#WeatherProvider).WeatherProvider_Weather != ""rain"") {

    (#Door).Door_Open()

}","if ((#WeatherProvider).weatherProvider_weather == ""rain"") {
  (#Window).windowControl_close()
}
wait until ((#WeatherProvider).weatherProvider_weather != ""rain"")
(#Window).windowControl_open()","weatherProvider_weather, windowControl_close, windowControl_open"
130,130,10,local_8b (version0_13),gpt_mg.version0_13,local_8b,외부 미세먼지 농도가 2000 이상이면 문을 닫고 4시간 뒤에 밸브를 잠궈줘.,True,0.755725,0.755725,,"
if ((#WeatherProvider).WeatherProvider_Pm10Weather >= 2000) {

    (#Door).Door_Close()

    delay(4 HOUR)

    (#Valve).Valve_Close()
 
}","if ((#WeatherProvider).weatherProvider_pm10Weather >= 2000) {
  (#Window).windowControl_close()
  wait until (#Clock).clock_delay(14400000)
  (#Valve).valve_close()
}","clock_delay, valve_close, weatherProvider_pm10Weather, windowControl_close"
131,131,11,local_8b (version0_13),gpt_mg.version0_13,local_8b,사이렌을 응급 모드로 울리고 5초 뒤에 사이렌 모드를 화재 모드로 바꿔줘.,True,0.677966,0.677966,,"
(#Siren).Siren_SetSirenMode(""emergency"")

delay(5 SEC)

(#Siren).Siren_SetSirenMode(""fire"")","if ((#Siren).sirenMode_sirenMode == ""off"") {
  (#Siren).sirenMode_setSirenMode(""emergency"")
  (#Clock).clock_delay(5000)
  (#Siren).sirenMode_setSirenMode(""fire"")
}","clock_delay, sirenMode_setSirenMode, sirenMode_sirenMode"
132,132,12,local_8b (version0_13),gpt_mg.version0_13,local_8b,조명 밝기를 30으로 설정했다가 10분 뒤에 80으로 올려줘.,True,0.454936,0.454936,,"
(#Light).Light_MoveToBrightness(30, 0)

delay(10 MIN)

(#Light).Light_MoveToBrightness(80, 0)","brightness := 30
(#Light).switchLevel_setLevel(brightness)
wait until (#Clock).clock_delay(600000)
brightness := 80
(#Light).switchLevel_setLevel(brightness)","clock_delay, switchLevel_setLevel"
133,133,13,local_8b (version0_13),gpt_mg.version0_13,local_8b,로봇 청소기를 자동 모드로 시작하고 30분 뒤에 수동 모드로 바꿔줘.,True,0.628415,0.628415,,"
(#RobotVacuumCleaner).RobotVacuumCleaner_SetRobotVacuumCleanerModeMode(""auto"")

delay(30 MIN)

(#RobotVacuumCleaner).RobotVacuumCleaner_SetRobotVacuumCleanerModeMode(""manual"")","if (triggered == false) {
  (#RobotCleaner).robotCleanerCleaningMode_setRobotCleanerCleaningMode(""auto"")
  triggered = true
} else {
  (#RobotCleaner).robotCleanerCleaningMode_setRobotCleanerCleaningMode(""manual"")
}",robotCleanerCleaningMode_setRobotCleanerCleaningMode
134,134,14,local_8b (version0_13),gpt_mg.version0_13,local_8b,스피커 볼륨을 20으로 설정하고 10분 뒤에 40으로 높여줘.,False,0.0,0.563107,unknown_services:mediaPlayback_setVolume,"(#Speaker).Speaker_SetVolume(20)

delay(10 MIN)

(#Speaker).Speaker_SetVolume(40)","volume = 20
(#Speaker).mediaPlayback_setVolume(volume)
(#Clock).clock_delay(600000)
volume = 40
(#Speaker).mediaPlayback_setVolume(volume)","clock_delay, mediaPlayback_setVolume"
135,135,15,local_8b (version0_13),gpt_mg.version0_13,local_8b,제습기를 건조 모드로 작동시키고 1시간 뒤에 리프레쉬 모드로 바꿔줘.,True,0.740741,0.740741,,"(#Dehumidifier).Dehumidifier_SetDehumidifierMode(""drying"")

delay(1 HOUR)

(#Dehumidifier).Dehumidifier_SetDehumidifierMode(""refreshing"")","if ((#Dehumidifier).dehumidifierMode_dehumidifierMode == ""dehumidifying"") {
  (#Dehumidifier).dehumidifierMode_setDehumidifierMode(""refreshing"")
}","dehumidifierMode_dehumidifierMode, dehumidifierMode_setDehumidifierMode"
136,136,16,local_8b (version0_13),gpt_mg.version0_13,local_8b,거실의 모든 전등을 켜고 1시간 뒤에 꺼줘.,True,0.417178,0.417178,,"
all(#LivingRoom #Light).Switch_On()

delay(1 HOUR)

all(#LivingRoom #Light).Switch_Off()","if ((#Light).switch_switch == ""off"") {
  (#Light).switch_on()
} else {
  (#Light).switch_off()
}","switch_off, switch_on, switch_switch"
137,137,17,local_8b (version0_13),gpt_mg.version0_13,local_8b,집안의 재실 센서가 하나라도 감지되면 10초 뒤에 모든 긴급 사이렌을 울려줘.,True,0.604082,0.604082,,"
wait until (all(#House #PresenceSensor).PresenceSensor_Presence ==| true)

delay(10 SEC)

all(#Siren).Siren_SetSirenMode(""emergency"")","if (any(#PresenceSensor).presenceSensor_presence == ""present"") {
  wait until (#Clock).clock_delay(10000)
  all(#Siren).alarm_siren()
}","alarm_siren, clock_delay, presenceSensor_presence"
138,138,18,local_8b (version0_13),gpt_mg.version0_13,local_8b,주방의 모든 벨브를 열고 5분 뒤에 다시 잠궈줘.,True,0.790419,0.790419,,"
all(#Kitchen #Valve).Valve_Open()

delay(5 MIN)

all(#Kitchen #Valve).Valve_Close()","all(#KitchenValve).valve_open()
(#Clock).clock_delay(300000)
all(#KitchenValve).valve_close()","clock_delay, valve_close, valve_open"
