index,category_analysis,selected,test_no,command,command_english,connected_dievces,options,joi_gt,joi_pred_llama4:scout.dense,script_similarity_llama4:scout.dense,cloud_similarity_llama4:scout.dense,response_time_llama4:scout_dence [ms],joi_pred_english_Qwen2.5-Coder:7B,cloud_similarity_english_Qwen2.5-Coder:7B,script_similarity_english_Qwen2.5-Coder:7B,response_time_english_Qwen2.5-Coder:7B,joi_pred_Qwen2.5-Coder:7B,cloud_similarity_Qwen2.5-Coder:7B,script_similarity_Qwen2.5-Coder:7B,response_time_Qwen2.5-Coder:7B,joi_pred_english_gpt-4.1-mini,cloud_similarity_english_gpt-4.1-mini,script_similarity_english_gpt-4.1-mini,response_time_english_gpt-4.1-mini,joi_pred_gpt-4.1-mini,cloud_similarity_gpt-4.1-mini,script_similarity_gpt-4.1-mini,response_time_gpt-4.1-mini
190,2,0,0,로봇 청소기가 자동 모드이면 알람의 사이렌을 울려줘.,Sound an alarm siren if the robot vacuum is in automatic mode.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#RobotCleaner).robotCleanerCleaningMode_robotCleanerCleaningMode == \""auto\"") {\n  (#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#RobotVacuum).autoMode_status ==""}",0.438,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
191,1,0,0,로봇 청소기를 꺼줘.,Turn off the robot vacuum.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#RobotCleaner).switch_off()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#VacuumCleaner).cleaningMode_status ==""}",0.377,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
192,1,0,0,로봇 청소기를 켜줘.,Turn on the robot vacuum.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#RobotCleaner).switch_on()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#RobotVacuum).vacuumController_turnOn()""}",0.418,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
193,1,0,0,로봇 청소기의 전원을 토글해줘.,Toggle the robot vacuum's power.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#RobotCleaner).switch_toggle()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#RobotVacuum).power_status ==""}",0.413,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
194,1,0,0,로봇 청소기의 청소 모드를 수동으로 설정해줘.,Set the robot vacuum's cleaning mode to manual.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#RobotCleaner).robotCleanerCleaningMode_setRobotCleanerCleaningMode(\""manual\"")""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#CleaningRobot).cleaningMode_setManual()""}",0.509,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
195,2,0,0,쉐이드가 40퍼센트 이상 열려 있으면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the shade is more than 40% open.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Shade).windowShadeLevel_shadeLevel >= 40) {\n  (#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Shade).shade_status >= 40.0) {\\n  (#Alarm).alarm_siren_on()\\n""}",0.734,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
196,2,0,0,쉐이드가 완전히 열려 있는 상태면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the shade is fully open.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Shade).windowShade_windowShade == \""open\"") {\n  (#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Shade).shade_status ==""}",0.635,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
197,2,0,0,쉐이드가 지원하는 상태를 스피커로 출력해줘.,Announce the states supported by the shade via the speaker.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""states = (#Shade).windowShade_supportedWindowShadeCommands\n(#Speaker).mediaPlayback_speak(states)""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#Shade).shade_getStatus()\\n  (#Speaker).speaker_speak((#Shade).shade_getStatus())""}",0.491,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
198,1,0,0,쉐이드를 50퍼 센트로 설정해줘.,Set the shade to 50 percent.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Shade).windowShadeLevel_setShadeLevel(50)""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#Shade).shade_setShade(50.0)""}",0.722,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
199,1,0,0,쉐이드를 닫아줘.,Close the shade.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Shade).windowShade_close()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Blind).blindControl_isOpen == true) {\\n  (#Blind).blindControl_close()\\n""}",0.306,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
200,1,0,0,쉐이드를 열어줘.,Open the shade.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Shade).windowShade_open()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#Blind).blindControl_open()""}",0.473,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
201,1,0,0,쉐이드 움직임을 일시 중지해줘.,Pause the shade movement.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Shade).windowShade_pause()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Shade).shade_status ==""}",0.63,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
202,2,0,0,사이렌이 켜져 있으면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the siren is on.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Siren).switch_switch == \""on\"") {\n  (#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Alarm).alarm_isOn == true) {\\n  (#Sirens).sirens_activate()\\n""}",0.395,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
203,2,0,0,사이렌 모드가 사이렌이면 알람의 사이렌을 울려줘.,"If the siren mode is Siren, sound the alarm's siren.",,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Siren).sirenMode_sirenMode == \""siren\"") {\n  (#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#AlarmMode).alarmMode_currentMode ==""}",0.667,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
204,1,0,0,사이렌을 꺼줘.,Turn off the siren.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Siren).switch_off()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Sirens).sirens_isOn == true) {\\n  (#Sirens).sirens_turnOff()\\n""}",0.42,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
205,1,0,0,사이렌을 켜줘.,Turn on the siren.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Siren).switch_on()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#Sirens).sirens_on()""}",0.78,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
206,1,0,0,사이렌 전원을 토글해줘.,Toggle the siren power.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Siren).switch_toggle()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Sirens).sirens_isOn == true) {\\n  (#Sirens).sirens_turnOff()\\n""}",0.381,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
207,1,0,0,사이렌 모드를 경광등으로 설정해줘.,Set the siren mode to strobe.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Siren).sirenMode_setSirenMode(\""strobe\"")""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#Alarm).alarmMode_setAlarmMode(""}",0.625,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
208,2,0,0,스마트 플러그의 전원이 켜져 있으면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the smart plug is powered on.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#SmartPlug).switch_switch == \""on\"") {\n  (#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#SmartPlug).smartPlug_isPowerOn == true) {\\n  (#Alarm).alarm_siren_on()\\n""}",0.436,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
209,2,0,0,스마트 플러그의 전압이 220볼트 이상이면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the smart plug is over 220 volts.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#SmartPlug).voltageMeasurement_voltage >= 220) {\n  (#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#SmartPlug).plug_voltage > 220) {\\n  (#Alarm).alarm_siren_on()\\n""}",0.836,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
210,2,0,0,스마트 플러그의 전류가 10암페어 이상이면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the smart plug is drawing more than 10 amps.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#SmartPlug).currentMeasurement_current >= 10) {\n  (#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#SmartPlug).smartPlug_current >= 10.0) {\\n  (#Alarm).alarm_siren_on()\\n""}",0.786,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
211,2,0,0,스마트 플러그의 소비 전력이 1000와트 이상이면 알람의 사이렌을 울려줘.,Sound the alarm siren if a smart plug draws more than 1000 watts.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#SmartPlug).powerMeter_power >= 1000) {\n  (#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#SmartPlug).smartPlug_powerConsumption >= 1000) {\\n  (#Alarm).alarm_siren_on()\\n""}",0.794,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
212,1,0,0,스마트 플러그를 꺼줘.,Turn off the smart plug.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#SmartPlug).switch_off()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#SmartPlug).smartPlug_isOn == true) {\\n  (#SmartPlug).smartPlug_turnOff()\\n""}",0.433,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
213,1,0,0,스마트 플러그를 켜줘.,Turn on the smart plug.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#SmartPlug).switch_on()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#SmartPlug).smartPlugControl_turnOn()""}",0.613,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
214,1,0,0,스마트 플러그의 전원을 토글해줘.,Toggle the power of the smart plug.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#SmartPlug).switch_toggle()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#SmartPlug).smartPlug_isPowerOn == true) {\\n  (#SmartPlug).smartPlug_togglePower()\\n""}",0.459,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
215,2,1,0,연기 감지기에서 연기가 감지되면 알람의 사이렌을 울려줘.,Sound the alarm's siren if smoke is detected by the smoke detector.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#SmokeDetector).smokeDetector_smoke == \""detected\"") {\n  (#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#SmokeDetector).smokeDetector_isSmokeDetected == true) {\\n  (#Alarm).alarm_siren_on()\\n""}",0.656,0.0,,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'wait until((#SmokeDetector).smokeDetector_smoke == ""detected"")\n(#Alarm).alarm_siren()\nname = ""Scenario2""\ncron = """"\nperiod = -1\nwait until((#SmokeDetector).smokeDetector_smoke == ""tested"")\n(#Alarm).alarm_off()'}]",0.0,0.0,4.71,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'wait until((#SmokeDetector).smokeDetector_smoke == ""detected"")\n(#Alarm).alarm_siren()\nname = ""Scenario2""\ncron = """"\nperiod = -1\nwait until((#SmokeDetector).smokeDetector_smoke == ""clear"")\n(#Alarm).alarm_off()'}]",0.0,0.0,5.451,"[{'name': 'Smoke Alarm Siren', 'cron': '', 'period': -1, 'code': 'if ((#SmokeDetector).smokeDetector_smoke == detected) {\n  (#Alarm).alarm_siren()\n}'}]",0.0,0.0,1.763,"[{'name': 'SmokeAlarmSiren', 'cron': '', 'period': -1, 'code': 'if ((#SmokeDetector).smokeDetector_smoke == detected) {\n  if (any(#Alarm).alarm_alarm != siren) {\n    any(#Alarm).alarm_siren()\n  }\n}'}]",0.0,0.0,2.601
216,2,0,0,토양 습도 센서의 토양 습도 측정값이 30퍼센트 이하이면 알람의 사이렌을 울려줘.,Sound the alarm siren if the soil moisture sensor's soil moisture reading is 30 percent or less.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity <= 30) {\n  (#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity <= 30.0) {\\n  (#Alarm).alarm_siren_on()\\n""}",0.973,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
217,2,0,0,소리 센서에서 소리가 감지되면 알람의 사이렌을 울려줘.,Sound the alarm's siren if sound is detected by the sound sensor.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#SoundSensor).soundSensor_sound == \""detected\"") {\n  (#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#SoundSensor).soundSensor_detectSound == true) {\\n  (#Alarm).alarm_siren_on()\\n""}",0.637,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
218,2,0,0,소리 감지 레벨이 70dB 이상이면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the sound detection level is above 70 dB.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#SoundSensor).soundPressureLevel_soundPressureLevel >= 70) {\n  (#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#SoundSensor).soundLevel_detectionLevel >= 70) {\\n  (#Alarm).alarm_siren_on()\\n""}",0.82,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
219,2,0,0,스피커의 전원이 켜져 있으면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the speaker is powered on.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Speaker).switch_switch == \""on\"") {\n  (#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Speaker).speaker_isPowerOn == true) {\\n  (#Alarm).alarm_sirenOn()\\n""}",0.426,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
220,2,0,0,스피커가 재생 중이면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the speaker is playing.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Speaker).mediaPlayback_playbackStatus == \""playing\"") {\n  (#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Speaker).speaker_isPlaying == true) {\\n  (#Alarm).alarm_siren_on()\\n""}",0.455,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
221,1,0,0,스피커가 지원하는 명령어를 스피커로 출력해줘.,Announce commands that the speaker supports via the speaker.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""commands = (#Speaker).mediaPlayback_supportedPlaybackCommands\n(#Speaker).mediaPlayback_speak(commands)""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#Speaker).speaker_outputText(""}",0.305,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
222,1,0,0,스피커를 꺼줘.,Turn off the speaker.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Speaker).switch_off()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Speaker).speaker_isOn == true) {\\n  (#Speaker).speaker_turnOff()\\n""}",0.437,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
223,1,0,0,스피커를 켜줘.,Turn on the speaker.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Speaker).switch_on()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#Speaker).speaker_on()""}",0.756,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
224,1,0,0,스피커의 전원을 토글해줘.,Toggle the power of the speaker.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Speaker).switch_toggle()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Speaker).speakerPower_getPower() == true) {\\n  (#Speaker).speakerPower_off()\\n""}",0.353,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
225,1,0,0,스피커의 재생을 빨리 감기 해줘.,Fast-forward the playback of the speaker.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Speaker).mediaPlayback_fastForward()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#Speaker).speaker_fastForward()""}",0.8,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
226,1,0,0,스피커의 재생을 일시 정지해줘.,Pause playback on the speaker.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Speaker).mediaPlayback_pause()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Speaker).speaker_isPlaying == true) {\\n  (#Speaker).speaker_pause()\\n""}",0.545,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
227,1,0,0,스피커의 재생을 되감아줘.,Rewind the speaker's playback.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Speaker).mediaPlayback_rewind()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#Speaker).speakerControl_backward()""}",0.638,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
228,1,0,0,스피커의 재생을 멈춰줘.,Stop the speaker from playing.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Speaker).mediaPlayback_stop()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#Speaker).speakerControl_stopPlaying()""}",0.6,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
229,1,1,0,스피커에서 music.mp3를 재생해줘.,Play 'music.mp3' on the speaker.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Speaker).mediaPlayback_play(\""music.mp3\"")""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#Speaker).speaker_playMedia(""}",0.678,0.0,,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Speaker).mediaPlayback_play(""music.mp3"")'}]",0.0,0.0,2.782,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Speaker).mediaPlayback_play(""music.mp3"")'}]",0.0,0.0,3.632,"[{'name': 'PlayMusicOnSpeaker', 'cron': '', 'period': -1, 'code': '(#Speaker).mediaPlayback_play(""music.mp3"")'}]",0.0,0.0,1.167,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Speaker).mediaPlayback_play(""music.mp3"")'}]",0.0,0.0,2.255
230,1,0,0,스피커에서 '지금은 테스트 중입니다.'를 말해줘.,"Speak ""This is a test"" through the speaker.",,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Speaker).mediaPlayback_speak(\""This is a test.\"")""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#Speaker).speaker_speakText(""}",0.7,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
231,2,0,0,녹음기의 전원이 켜져 있으면 알람의 사이렌을 울려줘.,Sound an alarm siren if the recorder is powered on.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Recorder).switch_switch == \""on\"") {\n  (#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Recorder).recorderState_powerState ==""}",0.563,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
232,2,0,0,녹음기가 녹음 중이면 알람의 사이렌을 울려줘.,Sound the alarm siren if the recorder is recording.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Recorder).audioRecord_recordStatus == \""recording\"") {\n  (#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Recorder).recorder_isRecording == true) {\\n  (#Alarm).alarm_sirenOn()\\n""}",0.473,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
233,1,0,0,녹음기를 꺼줘.,Turn off the recorder.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Recorder).switch_off()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Recorder).recorderState_isOn == true) {\\n  (#Recorder).recorderControl_turnOff()\\n""}",0.385,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
234,1,0,0,녹음기를 켜줘.,Turn on the recorder.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Recorder).switch_on()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#Recorder).recorderOperate_startRecording()""}",0.507,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
235,1,0,0,녹음기의 전원을 토글해줘.,Toggle the recorder's power.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Recorder).switch_toggle()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Recorder).recorderState_power ==""}",0.444,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
236,1,1,0,녹음기로 10초 동안 녹음해서 test.wav로 저장해줘.,Record 10 seconds with a recorder and save it as test.wav.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Recorder).audioRecord_record(\""test.wav\"", 10)""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#AudioRecorder).audioRecorder_startRecording(""}",0.805,0.0,,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Recorder).audioRecord_record(""test.wav"", 10.0)'}]",0.0,0.0,3.029,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Recorder).audioRecord_record(""test.wav"", 10.0)'}]",0.0,0.0,3.795,"[{'name': 'RecordAudio', 'cron': '', 'period': -1, 'code': '(#Recorder).audioRecord_record(""test.wav"", 10.0)'}]",0.0,0.0,1.311,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': '(#Recorder).audioRecord_record(""test.wav"", 10.0)'}]",0.0,0.0,2.411
237,2,0,0,스위치의 전원이 켜져 있으면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the switch is powered on.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Switch).switch_switch == \""on\"") {\n  (#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Switch).switch_isPowerOn == true) {\\n  (#Alarm).alarm_siren_on()\\n""}",0.522,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
238,1,0,0,스위치를 꺼줘.,Switch off.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Switch).switch_off()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Switch).switch_switch ==""}",0.68,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
239,1,0,0,스위치를 켜줘.,Switch on.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Switch).switch_on()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#Switch).switch_on()""}",1.0,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
240,1,0,0,스위치의 전원을 토글해줘.,Toggle the power of the switch.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Switch).switch_toggle()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Switch).switch_isOn == true) {\\n  (#Switch).switch_off()\\n""}",0.519,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
241,2,0,0,TV의 전원이 켜져 있으면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the TV is powered on.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Television).switch_switch == \""on\"") {\n  (#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#TV).tv_power ==""}",0.431,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
242,2,0,0,현재 TV 채널 이름이 '9시 뉴스'이면 알람의 사이렌을 울려줘.,"If the current TV channel is named ""9 o'clock news"" sound the alarm's siren.",,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Television).tvChannel_tvChannelName == \""9 o\""clock news\"") {\n  (#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#TV).tv_getCurrentChannelName() ==""}",0.658,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
243,2,0,0,TV의 볼륨이 50 이상이면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the volume on the TV is above 50.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Television).audioVolume_volume >= 50) {\n  (#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#TV).tv_volume >= 50) {\\n  (#Alarm).alarm_siren_on()\\n""}",0.776,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
244,2,0,0,TV가 음소거 상태이면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the TV is muted.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Television).audioMute_muteStatus == \""muted\"") {\n  (#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#TV).tv_muteStatus ==""}",0.698,,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,
