category_analysis,command,connected_devices,options,GT,generated_code_gpt4.0_gpt_mg,cloud_similarity_gpt4o,generated_code_gpt-4.1_cap,cloud_similarity_gpt-4.1_cap,generated_code_gpt-4.1-mini_student,cloud_similarity_gpt-4.1-mini,joi_pred_Qwen2.5-Coder:7B,cloud_similarity_Qwen2.5-Coder:7B,joi_pred_llama4:scout.dense,script_similarity_llama4:scout.dense,generated_code_gpt4.0_gpt_mg,cloud_similarity_gpt4o_old
6,5초마다 실내 공기청정기를 ‘자동’ 모드로 전환해 줘. 그 때마다 확인해서 창문이 열려 있으면 모든 반복을 종료해 줘.,nan,nan,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 5000, ""code"": ""(#AirPurifier).airPurifierFanMode_setAirPurifierFanMode(\""auto\"")\nstate = (#Window).windowControl_window\nif (state == \""open\"") {\n  break\n}""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": 5000, ""code"": ""if ((#Window).windowControl_window == ""open"") {
 break
 } else {
 (#AirPurifier).airPurifierFanMode_setAirPurifierFanMode(""auto"")
 }""}",0.9," 
{""name"": ""Scenario1"",""cron"": """",""period"": 5000,""code"": ""if ((#Window).windowControl_window == 'open') {break} (#AirPurifier).airPurifierFanMode_setAirPurifierFanMode('auto')""}",0.9,"[{'name': 'SilentAirPurifierMode', 'cron': '', 'period': 5000, 'code': 'allWindowOpen := false\nif (allWindowOpen == false) {\n  if (any(#Window).windowControl_window == open) {\n    allWindowOpen = true\n    break\n  }\n  all(#AirPurifier).airPurifierFanMode_setAirPurifierFanMode(""quiet"")\n}'}]",0.6,"[{'name': 'Scenario1', 'cron': '', 'period': 5000, 'code': 'windowOpen := false\nif (any(#Window).windowControl_window == ""open"") {\n  windowOpen = true\n  break\n}\n(#AirPurifier).airPurifierFanMode_setAirPurifierFanMode(\'quiet\')\nif (windowOpen) {\n  break\n}'}]",0.6,"{""cron"": ""0 9 * * *"", ""period"": ""-1"", ""code"": ""if ((#Light).light_switch ==""}",0.16,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 5000, ""code"": ""(#AirPurifier).airPurifierFanMode_setAirPurifierFanMode(""auto"")
if ((#Window).windowControl_window == ""open"") {
break
}""}",0.9
7,실시간으로 확인해서 토양 습도가 25% 이하로 떨어질 때마다 급수기를 켜고 '급수 시작'이라고 스피커로 출력해줘.,nan,nan,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 100, ""code"": ""triggered := false\nif ((#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity <= 25.0) {\n  if (triggered == false) {\n    (#Irrigator).switch_on()\n    (#Speaker).mediaPlayback_speak(\""Start watering\"")\n    triggered = true\n  }\n} else {\n  triggered = false\n}""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": 100, ""code"": ""
 triggered := false
 if ((#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity <= 25.0) {
 if (triggered == false) {
 (#Irrigator).irrigatorOperatingState_startWatering()
 (#Speaker).mediaPlayback_speak(\""급수 시작\"")
 triggered = true
 }
 } else {
 triggered = false
 }
 ""}",1,"{""name"": ""Scenario1"",""cron"": """",""period"": 100,""code"": ""prev_soil := (#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity soil = (#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity if ((prev_soil > 25) and (soil <= 25)) { (#Irrigator).irrigatorOperatingState_startWatering() (#Speaker).mediaPlayback_speak('급수 시작') } prev_soil = soil""}",0.7,"[{'name': 'SoilHumidityWateringAnnouncement', 'cron': '', 'period': 1000, 'code': 'triggered := false\nsoilHumidity = (#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity\nif (soilHumidity < 25.0) {\n  if (triggered == false) {\n    (#Irrigator).switch_on()\n    (#Speaker).mediaPlayback_speak(""급수 시작"")\n    triggered = true\n  }\n} else {\n  triggered = false\n}'}]",0.9,"[{'name': 'Scenario1', 'cron': '', 'period': 10000, 'code': 'if (any(#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity <= 25.0) {\n  (#Timer).switch_on()\n  (#Speaker).mediaPlayback_speak(""급수 시작"")\n}'}]",0.4,"{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#AirConditioner).airConditionerOperatingState_isOff == true && (#Window).windowState_isOpen == true) {       (#Clock).clock_delay(10000)       if ((#HumiditySensor).humiditySensor_getHumidity() > 60) {         (#Blind).blindControl_down()         (#Light).lightControl_off()""}",0.051,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 100, ""code"": ""if ((#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity <= 25.0) {
(#Irrigator).irrigatorOperatingState_startWatering()
(#Speaker).mediaPlayback_speak(""급수 시작"")
}""}",0.7
7,1초마다 상태를 확인해서 온도가 35도를 초과할 때마다 환풍기를 켜 줘.,nan,nan,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 1000, ""code"": ""triggered := false\nif ((#TemperatureSensor).temperatureMeasurement_temperature > 35.0) {\n  if (triggered == false) {\n    (#Fan).switch_on()\n    triggered = true\n  }\n} else {\n  triggered = false\n}""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": 1000, ""code"": ""
 triggered := false
 if ((#TemperatureSensor).temperatureMeasurement_temperature > 35.0) {
 if (triggered == false) {
 (#Fan).switch_on()
 triggered = true
 }
 } else {
 triggered = false
 }
 ""}",1,"{""name"": ""Scenario1"",""cron"": """",""period"": 1000,""code"": ""prev_temp := (#TemperatureSensor).temperatureMeasurement_temperature\ntemp = (#TemperatureSensor).temperatureMeasurement_temperature\nif ((prev_temp <= 35) and (temp > 35)) {\n    (#Fan).switch_on()\n}\nprev_temp = temp""}",0.7,"[{'name': 'TemperatureFanControl', 'cron': '', 'period': 1000, 'code': 'if (any(#TemperatureSensor).temperatureMeasurement_temperature > 35.0) {\n  all(#Fan).switch_on()\n} else {\n  all(#Fan).switch_off()\n}'}]",0.7,"[{'name': 'Scenario1', 'cron': '', 'period': 1000, 'code': 'fanOn := false\nif ((#TemperatureSensor).temperatureMeasurement_temperature > 35.0) {\n  if (fanOn == false) {\n    (#Fan).fanControl_setPercent(100)\n    fanOn = true\n  }\n} else {\n  fanOn = false\n}'}, {'name': 'Scenario2', 'cron': '', 'period': 1000, 'code': 'if (fanOn == true) {\n  if ((#TemperatureSensor).temperatureMeasurement_temperature <= 35.0) {\n    (#Fan).fanControl_setPercent(0)\n    fanOn = false\n  }\n}'}]",0.7,"{""cron"": """", ""period"": ""-1"", ""code"": ""wait until((#HumiditySensor).humidity >= 70)     if ((#Window).windowState ==""}",0.724,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 1000, ""code"": ""if ((#AirQualityDetector).temperatureMeasurement_temperature > 35.0) {\n  (#Fan).switch_on()\n}""}",0.6
7,현재 날씨에서 비가 감지될 때마다 관개 장치를 꺼 주고 '비가 감지되었습니다'라고 스피커로 출력해줘. 감지는 1분에 한번씩만 하자.,nan,nan,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 60000, ""code"": ""triggered := false\nif ((#WeatherProvider).weatherProvider_weather == \""rain\"") {\n  if (triggered == false) {\n    (#Irrigator).switch_off()\n    (#Speaker).mediaPlayback_speak(\""비가 감지되었습니다\"")\n    triggered = true\n  }\n} else {\n  triggered = false\n}""}","triggered := false
if ((#WeatherProvider).weatherProvider_weather == \""rain\"") {
if (triggered == false) {
(#Irrigator).switch_off()
(#Speaker).mediaPlayback_speak(\""비가 감지되었습니다\"")
triggered = true
}
} else {
triggered = false
}",1,"{""name"": ""Scenario1"",""cron"": """",""period"": 60000,""code"": ""if ((#WeatherProvider).weatherProvider_Weather == 'rain') { (#Irrigator).switch_off() (#Speaker).mediaPlayback_speak('비가 감지되었습니다') }""}",0.8,"[{'name': 'RainDetectionIrrigationControl', 'cron': '', 'period': 60000, 'code': 'rainPreviouslyDetected := false\nif ((#WeatherProvider).weatherProvider_weather == ""rain"") {\n  if (rainPreviouslyDetected == false) {\n    (#Irrigator).switch_off()\n    (#Speaker).mediaPlayback_speak(""비 감지"")\n    rainPreviouslyDetected = true\n  }\n} else {\n  rainPreviouslyDetected = false\n}'}]",0.95,"[{'name': 'Scenario1', 'cron': '', 'period': 60000, 'code': 'wait until(#WeatherProvider).weatherProvider_weather == ""rain""\n(#Irrigator).switch_off()\n(#Speaker).mediaPlayback_speak(""비 감지"")\nname = ""Scenario2""\ncron = """"\nperiod = 60000\nwait until(#WeatherProvider).weatherProvider_weather == ""rain""\n(#Irrigator).switch_off()\n(#Speaker).mediaPlayback_speak(""비 감지"")'}]",0.6,"{""cron"": ""0 7 * * 1"", ""period"": ""-1"", ""code"": ""(#Light).light_setBrightness(20)     wait until (currentTime >= 0 and currentTime < 86400)     while (true) {       if ((#MotionSensor).motionSensor_isMotionDetected == true) {         (#Blind).blind_open()         (#Curtain).curtain_open()         (#Curtain).curtain_close()         if ((#Window).window_isOpen == true) {           (#Fan).fan_turnOn()""}",0.074,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 60000, ""code"": ""if ((#WeatherProvider).weatherProvider_weather == ""rain"") {
(#Irrigator).switch_off()
(#Speaker).mediaPlayback_speak(""비가 감지되었습니다"")
}""}",0.7
7,2초마다 상태를 확인해서 TV가 켜질 때마다 스피커도 켜 줘.,nan,nan,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 2000, ""code"": ""triggered := false\nif ((#Television).switch_switch == \""on\"") {\n  if (triggered == false) {\n    (#Speaker).switch_on()\n    triggered = true\n  }\n} else {\n  triggered = false\n}""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": 2000, ""code"": ""triggered := false\nif ((#Television).switch_switch == \""on\"") {\n if (triggered == false) {\n (#Speaker).switch_on()\n triggered = true\n }\n} else {\n triggered = false\n}""}",1,"{""name"": ""Scenario1"",""cron"": """",""period"": 2000,""code"": ""prev_tv_state := (#Television).switch_switch\ntv_state = (#Television).switch_switch\nif ((prev_tv_state == 'off') and (tv_state == 'on')) {\n    (#Speaker).switch_on()\n}\nprev_tv_state = tv_state""}",0.7,"[{'name': 'TurnOnSpeakersWhenTVOn', 'cron': '', 'period': 2000, 'code': 'speakersOnTriggered := false\nif ((#Television).switch_switch == ""on"") {\n  if (speakersOnTriggered == false) {\n    (#Speaker).switch_on()\n    speakersOnTriggered = true\n  }\n} else {\n  speakersOnTriggered = false\n}'}]",0.98,"[{'name': 'Scenario1', 'cron': '', 'period': 2000, 'code': 'tv_on := false\nif ((#Television).switch_switch == ""on"") {\n  if (tv_on == false) {\n    (#Speaker).switch_on()\n    tv_on = true\n  }\n} else {\n  tv_on = false\n}\ntv_on := false\nif ((#Television).switch_switch == ""on"") {\n  if (tv_on == false) {\n    (#Speaker).switch_on()\n    tv_on = true\n  }\n} else {\n  tv_on = false\n}'}]",0.8,"{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Light).switch_switch ==""}",0.47,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 2000, ""code"": ""
triggered := false
if ((#Television).switch_switch == \""on\"") {
if (triggered == false) {
(#Speaker).switch_on()
triggered = true
}
} else {
triggered = false
}
""}",1
7,토양 습도가 25% 이하가 되면 급수기를 켜고 이후 3초마다 상태를 확인해서 습도가 30% 이상이 될 때까지 급수기를 껐다 켰다 반복해 줘.,nan,nan,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 3000, ""code"": ""active := False\nif (active == False) {\n  wait until((#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity <= 25.0)\n  (#Irrigator).switch_on()\n  active = True\n}\nif (active == True) {\n  if ((#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity >= 30.0) {\n      break\n  }\n  (#Irrigator).switch_toggle()\n}""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": 3000, ""code"": ""triggered := false\n
if (triggered == false) {\n
 wait until ((#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity <= 25.0)\n
 (#Irrigator).switch_on()\n
 triggered = true\n
}\n
if (triggered == true) {\n
 if ((#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity < 30.0) {\n
 (#Irrigator).switch_toggle()\n
 } else {\n triggered = false\n
 }\n
}""
 }""}",0.9,"{""name"": ""Scenario1"",""cron"": """",""period"": 3000,""code"": ""activated := false\nwait until((#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity <= 25)\nactivated = true\nif (activated == true) {\n    if ((#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity < 30) {\n        (#Irrigator).switch_toggle()\n    } else {\n        break\n    }\n}""}",0.6,"[{'name': 'SoilHumidityWateringControl', 'cron': '', 'period': 3000, 'code': 'wateringActive := false\nif ((#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity < 25.0) and (wateringActive == false) {\n  (#Irrigator).switch_on()\n  wateringActive = true\n}\nif (wateringActive == true) {\n  if ((#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity > 30.0) {\n    (#Irrigator).switch_off()\n    wateringActive = false\n    break\n  } else {\n    (#Irrigator).switch_toggle()\n  }\n}'}]",0.6,"[{'name': 'Scenario1', 'cron': '', 'period': 3000, 'code': 'waterLevel := 25.0\ntargetLevel := 30.0\nwhile (#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity <= waterLevel {\n  (#Timer).switch_on()\n  wait until(#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity > targetLevel\n  (#Timer).switch_off()\n  wait until(#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity <= waterLevel\n}'}]",0.5,"{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#AirConditioner).airConditionerOperatingState_mode ==""}",0.559,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 3000, ""code"": ""triggered := false
wait until ((#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity <= 25.0)
triggered = true
if (triggered == true) {
if ((#Irrigator).switch_switch == ""off"") {
(#Irrigator).switch_on()
} else {
(#Irrigator).switch_off()
}
if ((#SoilMoistureSensor).soilHumidityMeasurement_soilHumidity >= 30.0) {
triggered = false
}}""}",0.8
7,"일조량이 200룩스 이하가 되면 4초마다 조명을 켜고, 2초 후에 꺼 주는 동작을 반복해 줘.",nan,nan,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 4000, ""code"": ""active := False\nif (active == False) {\n  wait until((#LightSensor).lightLevel_light <= 200.0)\n  active = True\n}\nif (active == True) {\n  (#Light).switch_on()\n  (#Clock).clock_delay(2000)\n  (#Light).switch_off()\n}""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": 4000, ""code"": ""triggered := false\nif (triggered == false) {\n wait until ((#LightSensor).lightLevel_light <= 200.0)\n triggered = true\n}\nif (triggered == true) {\n (#Light).switch_on()\n (#Clock).clock_delay(2000)\n (#Light).switch_off()\n}""
 }""}",1,"{""name"": ""Scenario1"",""cron"": """",""period"": 4000,""code"": ""action := false\nif (action == false) {\n    wait until((#LightSensor).lightLevel_light <= 200)\n    action = true\n}\nif (action == true) {\n    (#Light).switch_on()\n    (#Clock).clock_delay(2000)\n    (#Light).switch_off()\n}""}",0.9,"[{'name': 'Light Blink on Low Sunlight', 'cron': '', 'period': 1000, 'code': 'counter := 0\nif ((#LightSensor).lightLevel_light < 200.0) {\n  counter = counter + 1000\n  mod = counter % 6000\n  if ((mod >= 0) and (mod < 4000)) {\n    if ((#Light).switch_switch != ""on"") {\n      (#Light).switch_on()\n    }\n  } else {\n    if ((#Light).switch_switch != ""off"") {\n      (#Light).switch_off()\n    }\n  }\n} else {\n  counter = 0\n  if ((#Light).switch_switch != ""off"") {\n    (#Light).switch_off()\n  }\n}'}]",0.5,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'wait until((#LightSensor).lightLevel_light <= 200.0)\n(#Light).switch_on()'}, {'name': 'Scenario2', 'cron': '', 'period': 2000, 'code': '(#Light).switch_off()'}]",0.6,"{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#TV).tvState_currentState ==""}",0.406,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 4000, ""code"": ""
lightOn := false
if ((#LightSensor).lightLevel_light <= 200) {
if (lightOn == false) {
(#Light).switch_on()
lightOn = true
(#Clock).clock_delay(2000)
(#Light).switch_off()
}
} else {
lightOn = false
}
""}",0.7
7,"조명이 켜지면 블라인드를 닫고, 이후 2초마다 커튼을 열었다 닫았다 반복해 줘.",nan,nan,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 2000, ""code"": ""active := False\nif (active == False) {\n  wait until((#Light).switch_switch == \""on\"")\n  (#Blind).blind_close()\n  active = True\n}\nif (active == True) {\n  (#Curtain).curtain_open()\n  (#Clock).clock_delay(1000)\n  (#Curtain).curtain_close()\n}""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": 2000, ""code"": ""
 action := false
 if (action == false) {
 wait until ((#Light).switch_switch == \""on\"")
 (#Blind).blind_close()
 action = true
 }
 if (action == true) {
 (#Curtain).curtain_open()
 (#Clock).clock_delay(2000)
 (#Curtain).curtain_close()
 }
 ""}",0.9,"{""name"": ""Scenario1"",""cron"": """",""period"": 2000,""code"": ""curtain_toggle_start := false\nif (curtain_toggle_start == false) {\n    wait until((#Light).switch_switch == 'on')\n    (#Blind).blind_close()\n    curtain_toggle_start = true\n}\nif (curtain_toggle_start == true) {\n    if ((#Curtain).curtain_curtain == 'closed') {\n        (#Curtain).curtain_open()\n    } else {\n        (#Curtain).curtain_close()\n    }\n}""}",0.7,"[{'name': 'BlindCloseOnLightOn', 'cron': '', 'period': 100, 'code': 'triggered := false\nif ((#Light).switch_switch == ""on"") {\n  if (triggered == false) {\n    all(#Blind).blind_close()\n    triggered = true\n  }\n} else {\n  triggered = false\n}'}, {'name': 'CurtainsOpenCloseEveryTwoSeconds', 'cron': '', 'period': 2000, 'code': 'state := ""open""\nif (state == ""open"") {\n  all(#Curtain).curtain_open()\n  state = ""close""\n} else {\n  all(#Curtain).curtain_close()\n  state = ""open""\n}'}]",0.4,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'if ((#Blind).blind_blind == ""unknown"") {\n  (#Blind).blind_close()\n}'}, {'name': 'Scenario2', 'cron': '', 'period': 2000, 'code': 'if ((#Blind).blind_blind == ""closed"") {\n  (#Blind).blind_open()\n  wait until((#Blind).blind_blind == ""open"")\n  (#Blind).blind_close()\n}'}]",0.3,"{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Door).doorState_isOpen == true) {       if ((#Alarm).alarmState_isOn == false) {         (#Sirens).sirens_activate()""}",0.333,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 100, ""code"": ""triggered := false
if ((#Light).switch_switch == ""on"") {
if (triggered == false) {
(#Blind).blind_close()
triggered = true
}
} else {
triggered = false
}
if (triggered == true) {
(#Curtain).curtain_open()
(#Clock).clock_delay(2000)
(#Curtain).curtain_close()
(#Clock).clock_delay(2000)
}""}",0.9
7,"현관 문이 닫히면 즉시 조명을 끄고, 이후 3초마다 경광등을 켜 줘.",nan,nan,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 3000, ""code"": ""active := False\nif (active == False) {\n  wait until((#DoorLock).doorControl_door == \""closed\"")\n  (#Light).switch_off()\n  active = True\n}\nif (active == True) {\n  (#Siren).sirenMode_setSirenMode(\""strobe\"")\n}""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": 3000, ""code"": ""action := false\nif (action == false) {\n wait until ((#DoorLock).doorControl_door == \""closed\"")\n (#Light).switch_off()\n action = true\n}\nif (action == true) {\n (#Alarm).alarm_strobe()\n}""}",1,"{""name"": ""Scenario1"",""cron"": """",""period"": 3000,""code"": 
""door_closed := false\n
if (door_closed == false) {\n    
wait until ((#DoorLock).doorControl_door == 'closed')\n    
(#Light).switch_off()\n    
door_closed = true\n}\n
if (door_closed == true) {\n    
(#Alarm).alarm_strobe()\n}""}",0.8,[],0,"[{'name': 'Scenario1', 'cron': '', 'period': -1, 'code': 'wait until((#DoorLock).doorControl_door == ""closed"")\n(#Light).switch_off()'}, {'name': 'Scenario2', 'cron': '', 'period': 3000, 'code': '(#Light).switch_off()'}]",0.5,"{""cron"": ""0 8 * * *"", ""period"": ""-1"", ""code"": ""(#Light).switch_on()""}",0.976,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 3000, ""code"": ""if ((#DoorLock).doorControl_door == \""open\"") {\n  wait until ((#DoorLock).doorControl_door == \""closed\"")\n  (#Light).switch_off()\n}\n(#Siren).sirenMode_setSirenMode(\""strobe\"")""
}""}",0.6
5,매일 오전 7시에 관개 장치가 꺼져 있고 창문이 닫혀 있으면 관개 장치를 켜고 창문을 열어 줘. 이후 관개 장치가 켜지면 블라인드를 닫아 줘.,nan,nan,"{""name:""Scenario1"", ""cron"":""0 7 * * *"", ""period"":0, ""code"":""if ((#Irrigator).switch_switch == \""off\"" and (#Window).windowControl_window == \""closed\"") {\n  (#Irrigator).switch_on()\n  (#Window).windowControl_open()\n  wait until((#Irrigator).switch_switch == \""on\"")\n  (#Blind).blind_close()\n}""}","{""name"": ""Scenario1"", ""cron"": ""0 7 * * *"", ""period"": -1, ""code"": ""if ((#Irrigator).switch_switch == \""off\"" and (#Window).windowControl_window == \""closed\"") {\n (#Irrigator).switch_on()\n (#Window).windowControl_open()\n wait until ((#Irrigator).switch_switch == \""on\"")\n (#Blind).blind_close()\n}""}",1," 
{""name"": ""Scenario1"",""cron"": ""0 7 * * *"",""period"": 0,""code"": ""if (((#Irrigator).switch_switch == 'off') and ((#Window).windowControl_window == 'closed')) {\n    (#Irrigator).irrigatorOperatingState_startWatering()\n    (#Window).windowControl_open()\n}\naction2_triggered := false\nif (action2_triggered == false) {\n    wait until ((#Irrigator).switch_switch == 'on')\n    action2_triggered = true\n}\nif (action2_triggered == true) {\n    (#Blind).blind_close()\n}""}",0.9,"[{'name': 'MorningIrrigationAndWindowControl', 'cron': '0 7 * * *', 'period': 0, 'code': 'if ((#Irrigator).switch_switch == ""off"" and all(#Window).windowControl_window == ""closed"") {\n  (#Irrigator).switch_on()\n  all(#Window).windowControl_open()\n}'}, {'name': 'CloseBlindsWhenIrrigationOn', 'cron': '', 'period': 100, 'code': 'irrigationOnTriggered := false\nif ((#Irrigator).switch_switch == ""on"") {\n  if (irrigationOnTriggered == false) {\n    all(#Blind).blind_close()\n    irrigationOnTriggered = true\n  }\n} else {\n  irrigationOnTriggered = false\n}'}]",0.7,"[{'name': 'Scenario1', 'cron': '0 7 * * *', 'period': -1, 'code': 'if ((#Irrigator).switch_switch == ""off"" and (#Window).windowControl_window == ""closed"") {\n  (#Irrigator).switch_on()\n  (#Window).windowControl_open()\n}'}, {'name': 'Scenario2', 'cron': '', 'period': -1, 'code': 'wait until((#Irrigator).switch_switch == ""on"")\n(#Blind).blind_close()'}]",0.9,"{""cron"": ""0 18 * * *"", ""period"": ""15000"", ""code"": ""if ((#Curtain).curtain_state ==""}",0.353,"{""name"": ""Scenario1"", ""cron"": ""0 7 * * *"", ""period"": -1, ""code"": ""if ((#Irrigator).switch_switch == \""off\"" and (#Window).windowControl_window == \""closed\"") {\n  (#Irrigator).switch_on()\n  (#Window).windowControl_open()\n  wait until ((#Irrigator).switch_switch == \""on\"")\n  (#Blind).blind_close()\n}""
}""}",0.8
7,"실시간으로 확인하여 온도가 28도 이상이면 선풍기를 켜고, 습도가 80% 이상이면 제습기를 켜 줘.",nan,nan,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 100, ""code"": ""temperature = (#TemperatureSensor).temperatureMeasurement_temperature\nhumidity = (#HumiditySensor).relativeHumidityMeasurement_humidity\nif (temperature >= 28.0) {\n  (#Fan).switch_on()\n}\nif (humidity >= 80.0) {\n  (#Dehumidifier).switch_on()\n}""}","{""name"": ""Scenario1"", ""cron"": """", ""period"": 100, ""code"": ""
 if ((#TemperatureSensor).temperatureMeasurement_temperature >= 28.0) {
 (#Fan).switch_on()
 }
 if ((#HumiditySensor).relativeHumidityMeasurement_humidity >= 80.0) {
 (#Dehumidifier).switch_on()
 }
 ""}",1,"{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if ((#TemperatureSensor).temperatureMeasurement_temperature >= 28) { (#Fan).switch_on() } if ((#HumiditySensor).relativeHumidityMeasurement_humidity >= 80) { (#Dehumidifier).switch_on() }""}",0.95,"[{'name': 'Fan Control', 'cron': '', 'period': 1000, 'code': 'if ((#TemperatureSensor).temperatureMeasurement_temperature > 28.0) {\n  (#Fan).switch_on()\n} else {\n  (#Fan).switch_off()\n}'}, {'name': 'Dehumidifier Control', 'cron': '', 'period': 1000, 'code': 'if ((#HumiditySensor).relativeHumidityMeasurement_humidity > 80.0) {\n  (#Dehumidifier).switch_on()\n} else {\n  (#Dehumidifier).switch_off()\n}'}]",0.85,"[{'name': 'Scenario1', 'cron': '', 'period': 10000, 'code': 'if ((#TemperatureSensor).temperatureMeasurement_temperature > 28.0) {\n  (#Fan).fanControl_setFanSpeed(100)\n}'}, {'name': 'Scenario2', 'cron': '', 'period': 10000, 'code': ""if ((#HumiditySensor).relativeHumidityMeasurement_humidity > 80.0) {\n  (#Dehumidifier).dehumidifierMode_setDehumidifierMode('dehumidifying')\n}""}]",0.7,"{""cron"": ""0 22 * * 5-6"", ""period"": ""3000"", ""code"": ""(#Dehumidifier).dehumidifierControl_onDehumidifier()""}",0.422,"{""name"": ""Scenario1"", ""cron"": """", ""period"": 1000, ""code"": ""
if ((#AirQualityDetector).temperatureMeasurement_temperature >= 28.0) {
(#Fan).switch_on()
}
if ((#AirQualityDetector).relativeHumidityMeasurement_humidity >= 80.0) {
(#Dehumidifier).switch_on()
}
""}",0.8
