line_no,row_no,dataset_index,model_label,request_model,selected_model,command,det_pass,sdet,script_similarity,fatal_reasons,reference_script,predicted_script,predicted_services
169,169,19,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,"서재 이산화탄소가 1000ppm 이상이고 공기청정기가 수면 모드이면, 자동 모드로 바꾸고 스피커로 ""공기청정기를 자동모드로 변경합니다""라고 말해줘.",False,0.0,0.0,"missing_prediction_code | generation_error:model_call_failed: version0_12 local_qwen backend failed: 경고: cuda:1이 존재하지 않아 cuda:0으로 자동 전환합니다.
`torch_dtype` is deprecated! Use `dtype` instead!

Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]
Loading checkpoint shards:  25%|██▌       | 1/4 [00:00<00:02,  1.40it/s]
Loading checkpoint shards:  50%|█████     | 2/4 [00:01<00:01,  1.26it/s]
Loading checkpoint shards:  75%|███████▌  | 3/4 [00:02<00:00,  1.26it/s]
Loading checkpoint shards: 100%|██████████| 4/4 [00:02<00:00,  1.79it/s]
Loading checkpoint shards: 100%|██████████| 4/4 [00:02<00:00,  1.57it/s]
The following generation flags are not valid and may be ignored: ['temperature', 'top_p', 'top_k']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
Traceback (most recent call last):
  File ""/home/andrew/joi-llm/gpt_mg/version0_12/qwen_local_worker.py"", line 196, in <module>
    main()
  File ""/home/andrew/joi-llm/gpt_mg/version0_12/qwen_local_worker.py"", line 168, in main
    generated = model.generate(
                ^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/torch/utils/_contextlib.py"", line 120, in decorate_context
    return func(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/transformers/generation/utils.py"", line 2564, in generate
    result = decoding_method(
             ^^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/transformers/generation/utils.py"", line 2784, in _sample
    outputs = self(**model_inputs, return_dict=True)
              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/torch/nn/modules/module.py"", line 1773, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/torch/nn/modules/module.py"", line 1784, in _call_impl
    return forward_call(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/transformers/utils/generic.py"", line 918, in wrapper
    output = func(self, *args, **kwargs)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/transformers/models/qwen2/modeling_qwen2.py"", line 449, in forward
    outputs: BaseModelOutputWithPast = self.model(
                                       ^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/torch/nn/modules/module.py"", line 1773, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/torch/nn/modules/module.py"", line 1784, in _call_impl
    return forward_call(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/transformers/utils/generic.py"", line 1072, in wrapper
    outputs = func(self, *args, **kwargs)
              ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/transformers/models/qwen2/modeling_qwen2.py"", line 384, in forward
    hidden_states = decoder_layer(
                    ^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/transformers/modeling_layers.py"", line 94, in __call__
    return super().__call__(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/torch/nn/modules/module.py"", line 1773, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/torch/nn/modules/module.py"", line 1784, in _call_impl
    return forward_call(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/transformers/utils/deprecation.py"", line 172, in wrapped_func
    return func(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/transformers/models/qwen2/modeling_qwen2.py"", line 248, in forward
    hidden_states = self.post_attention_layernorm(hidden_states)
                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/torch/nn/modules/module.py"", line 1773, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/torch/nn/modules/module.py"", line 1784, in _call_impl
    return forward_call(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/transformers/models/qwen2/modeling_qwen2.py"", line 199, in forward
    variance = hidden_states.pow(2).mean(-1, keepdim=True)
               ^^^^^^^^^^^^^^^^^^^^
torch.OutOfMemoryError: CUDA out of memory. Tried to allocate 428.00 MiB. GPU 0 has a total capacity of 31.36 GiB of which 287.00 MiB is free. Including non-PyTorch memory, this process has 16.27 GiB memory in use. Process 1481928 has 14.76 GiB memory in use. Of the allocated memory 15.10 GiB is allocated by PyTorch, and 598.83 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)","
if ((#Study #AirQualitySensor).AirQualitySensor_CarbonDioxide >= 1000 and (#Study #AirPurifier).AirPurifier_AirPurifierMode == ""sleep"") {

    (#Study #AirPurifier).AirPurifier_SetAirPurifierMode(""auto"")

    (#Study #Speaker).Speaker_Speak(""공기 청정기를 자동모드로 변경합니다"")

}",,
170,170,20,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,"욕실 습도가 85% 이상이고 욕실 문이 닫혀 있으면, 조명을 켜고 문을 열어줘.",False,0.0,0.0,"missing_prediction_code | generation_error:model_call_failed: version0_12 local_qwen backend failed: 경고: cuda:1이 존재하지 않아 cuda:0으로 자동 전환합니다.
`torch_dtype` is deprecated! Use `dtype` instead!

Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]
Loading checkpoint shards:  25%|██▌       | 1/4 [00:00<00:01,  1.51it/s]
Loading checkpoint shards:  50%|█████     | 2/4 [00:01<00:01,  1.47it/s]
Loading checkpoint shards:  75%|███████▌  | 3/4 [00:02<00:00,  1.41it/s]
Loading checkpoint shards: 100%|██████████| 4/4 [00:02<00:00,  1.98it/s]
Loading checkpoint shards: 100%|██████████| 4/4 [00:02<00:00,  1.75it/s]
The following generation flags are not valid and may be ignored: ['temperature', 'top_p', 'top_k']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
Traceback (most recent call last):
  File ""/home/andrew/joi-llm/gpt_mg/version0_12/qwen_local_worker.py"", line 196, in <module>
    main()
  File ""/home/andrew/joi-llm/gpt_mg/version0_12/qwen_local_worker.py"", line 168, in main
    generated = model.generate(
                ^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/torch/utils/_contextlib.py"", line 120, in decorate_context
    return func(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/transformers/generation/utils.py"", line 2564, in generate
    result = decoding_method(
             ^^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/transformers/generation/utils.py"", line 2784, in _sample
    outputs = self(**model_inputs, return_dict=True)
              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/torch/nn/modules/module.py"", line 1773, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/torch/nn/modules/module.py"", line 1784, in _call_impl
    return forward_call(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/transformers/utils/generic.py"", line 918, in wrapper
    output = func(self, *args, **kwargs)
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/transformers/models/qwen2/modeling_qwen2.py"", line 449, in forward
    outputs: BaseModelOutputWithPast = self.model(
                                       ^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/torch/nn/modules/module.py"", line 1773, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/torch/nn/modules/module.py"", line 1784, in _call_impl
    return forward_call(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/transformers/utils/generic.py"", line 1072, in wrapper
    outputs = func(self, *args, **kwargs)
              ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/transformers/models/qwen2/modeling_qwen2.py"", line 384, in forward
    hidden_states = decoder_layer(
                    ^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/transformers/modeling_layers.py"", line 94, in __call__
    return super().__call__(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/torch/nn/modules/module.py"", line 1773, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/torch/nn/modules/module.py"", line 1784, in _call_impl
    return forward_call(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/transformers/utils/deprecation.py"", line 172, in wrapped_func
    return func(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/transformers/models/qwen2/modeling_qwen2.py"", line 249, in forward
    hidden_states = self.mlp(hidden_states)
                    ^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/torch/nn/modules/module.py"", line 1773, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/torch/nn/modules/module.py"", line 1784, in _call_impl
    return forward_call(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/transformers/models/qwen2/modeling_qwen2.py"", line 46, in forward
    down_proj = self.down_proj(self.act_fn(self.gate_proj(x)) * self.up_proj(x))
                               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/torch/nn/modules/module.py"", line 1773, in _wrapped_call_impl
    return self._call_impl(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/torch/nn/modules/module.py"", line 1784, in _call_impl
    return forward_call(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/transformers/activations.py"", line 99, in forward
    return nn.functional.silu(input)
           ^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/andrew/llm/v/lib/python3.12/site-packages/torch/nn/functional.py"", line 2375, in silu
    return torch._C._nn.silu(input)
           ^^^^^^^^^^^^^^^^^^^^^^^^
torch.OutOfMemoryError: CUDA out of memory. Tried to allocate 1.10 GiB. GPU 0 has a total capacity of 31.36 GiB of which 281.00 MiB is free. Including non-PyTorch memory, this process has 17.37 GiB memory in use. Process 1482133 has 13.66 GiB memory in use. Of the allocated memory 16.00 GiB is allocated by PyTorch, and 813.48 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)","
if ((#Bathroom #HumiditySensor).HumiditySensor_Humidity >= 85 and (#Bathroom #Door).Door_DoorState == ""closed"") {

    (#Bathroom #Light).Switch_On()

    (#Bathroom #Door).Door_Open()

}",,
171,171,21,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,"현관에서 인식된 얼굴 ID가 ""가족""이고 도어락이 잠겨 있으면, 도어락을 풀고 문을 열어줘.",True,0.712934,0.712934,,"
if ((#Entrance #FaceRecognizer).FaceRecognizer_RecognizedResult == ""family"" and (#Entrance #DoorLock).DoorLock_DoorLockState == ""locked"") {

    (#Entrance #DoorLock).DoorLock_Unlock()

    (#Entrance #Door).Door_Open()

}","if ((#FaceRecognizer).RecognizedResult == ""가족"") {
  if ((#DoorLock).DoorLockState == ""locked"") {
    (#DoorLock).Unlock()
    (#Door).Open()
  }
}","DoorLockState, Open, RecognizedResult, Unlock"
172,172,22,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,"정원 조도가 50 미만이고 테라스 조명이 꺼져 있으면, 조명을 켜고 정원 스피커로 조명을 켠다고 말해줘.",False,0.0,0.694864,"unknown_services:lawnLighting_level,speaker_Speak,switch_on,switch_switch","
if ((#Garden #LightSensor).LightSensor_Brightness < 50 and (#Terrace #Light).Switch_Switch == false) {

    (#Terrace #Light).Switch_On()

    (#Garden #Speaker).Speaker_Speak(""조명을 켭니다."")

}","if ((#LawnLighting).lawnLighting_level < 50 && (#TerraceLight).switch_switch == ""off"") {
  (#TerraceLight).switch_on()
  (#LawnSpeaker).speaker_Speak(""정원 조도가 50 미만이고 테라스 조명이 꺼져 있어요. 조명을 켜줘"")
}","lawnLighting_level, speaker_Speak, switch_on, switch_switch"
173,173,23,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,"비가 오고 거실 창문이 열려 있으면, 창문을 닫고 건조기를 건조 모드로 설정해줘.",False,0.0,0.556122,"unknown_services:dehumidifierMode_setDehumidifierMode,weatherProvider_weather,windowControl_close,windowControl_window","
if ((#RainSensor).RainSensor_Rain == true and (#LivingRoom #Window).ArmRobot_CurrentPosition == 0) {

    (#LivingRoom #Window).WindowCovering_DownOrClose()

    (#Dehumidifier).Dehumidifier_SetDehumidifierMode(""drying"")

}","if ((#WeatherProvider).weatherProvider_weather == ""rain"") {
  if ((#Window).windowControl_window == ""open"") {
    (#Window).windowControl_close()
    (#Dehumidifier).dehumidifierMode_setDehumidifierMode(""drying"")
  }
}","dehumidifierMode_setDehumidifierMode, weatherProvider_weather, windowControl_close, windowControl_window"
174,174,24,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,"아기방 소리가 50dB 이상이고 거실 스피커가 멈춘 상태면, 거실 스피커로 아기가 깼다고 말하고 lullaby.mp3 파일 재생을 시작해줘.",False,0.0,0.661836,"unknown_services:soundSensor_soundLevel,speakerPlaybackState,speaker_PlaybackStart,speaker_Speak","
if ((#BabyRoom #SoundSensor).SoundSensor_Sound >= 50 and (#LivingRoom #Speaker).Speaker_PlaybackState == ""stopped"") {

    (#LivingRoom #Speaker).Speaker_Speak(""아기가 깼습니다."")

    (#LivingRoom #Speaker).Speaker_Play(""lullaby.mp3"")

}","if ((#BabyRoomSoundSensor).soundSensor_soundLevel >= 50 && (#LivingRoomSpeaker).speakerPlaybackState == ""stopped"") {
  (#LivingRoomSpeaker).speaker_Speak(""아기가 깼어요"")
  (#LivingRoomSpeaker).speaker_PlaybackStart(""lullaby.mp3"")
}","soundSensor_soundLevel, speakerPlaybackState, speaker_PlaybackStart, speaker_Speak"
175,175,25,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,"서버실 온도가 30도 이상이고 에어컨이 꺼져 있으면, 에어컨을 냉방 모드로 켜고 메인 사이렌을 긴급 모드로 울려줘.",False,0.0,0.326622,"unknown_services:airConditionerMode,airConditionerMode_setMode,alarm_siren_setMode,temperatureMeasurement_temperature","
if ((#ServerRoom #TemperatureSensor).TemperatureSensor_Temperature >= 30 and (#ServerRoom #AirConditioner).Switch_Switch == false) {

    (#ServerRoom #AirConditioner).AirConditioner_SetAirConditionerMode(""cool"")

    (#Main #Siren).Siren_SetSirenMode(""emergency"")

}","if ((#TemperatureSensor).temperatureMeasurement_temperature >= 30.0 and (#AirConditioner).airConditionerMode == ""off"") {
  (#AirConditioner).airConditionerMode_setMode(""cool"")
  (#Alarm).alarm_siren_setMode(""emergency"")
}","airConditionerMode, airConditionerMode_setMode, alarm_siren_setMode, temperatureMeasurement_temperature"
176,176,26,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,"와인 셀러 온도가 15도 이상이고 습도가 60% 이상이면, 에어컨을 켜고 가습기를 꺼줘.",False,0.0,0.53012,"unknown_services:AirConditionerMode_setAirConditionerMode,HumidifierMode_setHumidifierMode,humidityMeasurement_humidity,temperatureMeasurement_temperature","
if ((#WineCellar #TemperatureSensor).TemperatureSensor_Temperature >= 15 and (#WineCellar #HumiditySensor).HumiditySensor_Humidity >= 60) {

    (#AirConditioner).Switch_On()

    (#Humidifier).Switch_Off()

}","if ((#WineCellar).temperatureMeasurement_temperature >= 15.0 and (#WineCellar).humidityMeasurement_humidity >= 60.0) {
  (#AirConditioner).AirConditionerMode_setAirConditionerMode(""cool"")
  (#Humidifier).HumidifierMode_setHumidifierMode(""off"")
}","AirConditionerMode_setAirConditionerMode, HumidifierMode_setHumidifierMode, humidityMeasurement_humidity, temperatureMeasurement_temperature"
177,177,27,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,"지하에서 누수가 감지되고 메인 밸브가 열려 있으면, 모든 메인 밸브를 잠그고 경찰 사이렌을 울려줘.",False,0.0,0.692771,"unknown_services:leakStatus_leak,sirenMode_setSirenMode,valveState_lock,valveState_valve","
if ((#Basement #LeakSensor).LeakSensor_Leakage == true and (#Main #Valve).Valve_ValveState == true) {

    all(#Main #Valve).Valve_Close()

    (#Siren).Siren_SetSirenMode(""police"")

}","if ((#LeakSensor).leakStatus_leak == ""detected"") {
  if ((#MainValve).valveState_valve == ""open"") {
    all(#MainValve).valveState_lock()
    (#PoliceSiren).sirenMode_setSirenMode(""emergency"")
  }
}","leakStatus_leak, sirenMode_setSirenMode, valveState_lock, valveState_valve"
178,178,28,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,"창고 미세먼지가 100 이상이고 공기청정기가 자동 모드이면, 모드를 강풍 모드로 바꾸고 창고 스피커로 ""강풍 모드로 전환합니다""라고 말해줘.",False,0.0,0.725118,"unknown_services:Speaker_Speak,airPurifierMode,airPurifierMode_setMode,dustSensor_fineDustLevel","
if ((#Warehouse #AirQualitySensor).AirQualitySensor_FineDustLevel >= 100 and (#Warehouse #AirPurifier).AirPurifier_AirPurifierMode == ""auto"") {

    (#Warehouse #AirPurifier).AirPurifier_SetAirPurifierMode(""high"")

    (#Warehouse #Speaker).Speaker_Speak(""강풍 모드로 전환합니다"")

}","if ((#DustSensor).dustSensor_fineDustLevel >= 100 && (#AirPurifier).airPurifierMode == ""auto"") {
  (#AirPurifier).airPurifierMode_setMode(""strong"")
  (#Speaker).Speaker_Speak(""강풍 모드로 전환되었습니다"")
}","Speaker_Speak, airPurifierMode, airPurifierMode_setMode, dustSensor_fineDustLevel"
179,179,29,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,"게스트룸에 움직임이 감지되고 있고 에어컨이 꺼져 있으면, 에어컨을 자동 모드로 설정하고 목표 온도를 24도로 설정해줘.",False,0.0,0.332665,"unknown_services:airConditionerMode,airConditionerMode_setMode,airConditionerMode_setTemperature,motionDetection_motion","
if ((#GuestRoom #MotionSensor).MotionSensor_Motion == true and (#GuestRoom #AirConditioner).Switch_Switch == false) {

    (#GuestRoom #AirConditioner).AirConditioner_SetAirConditionerMode(""auto"")

    (#GuestRoom #AirConditioner).AirConditioner_SetTargetTemperature(24)

}","if ((#MotionSensor_GuestRoom).motionDetection_motion == ""detected"") {
  if ((#AirConditioner_GuestRoom).airConditionerMode == ""off"") {
    (#AirConditioner_GuestRoom).airConditionerMode_setMode(""auto"")
    (#AirConditioner_GuestRoom).airConditionerMode_setTemperature(24)
  }
}","airConditionerMode, airConditionerMode_setMode, airConditionerMode_setTemperature, motionDetection_motion"
180,180,30,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,"거실 조명이 켜져 있고 조도가 50 럭스 이상이면, 거실 블라인드를 닫고 에어컨을 자동 모드로 설정해줘.",False,0.0,0.680233,"unknown_services:AirConditionerMode_SetAirConditionerMode,Blind_Close,Light_Brightness","
if ((#LivingRoom #Light).Switch_Switch == true and (#LivingRoom #LightSensor).LightSensor_Brightness >= 50) {

    (#LivingRoom #Blind).WindowCovering_DownOrClose()

    (#LivingRoom #AirConditioner).AirConditioner_SetAirConditionerMode(""auto"")

}","if ((#Light).Light_Brightness >= 50) {
  (#Blind).Blind_Close()
  (#AirConditioner).AirConditionerMode_SetAirConditionerMode(""auto"")
}","AirConditionerMode_SetAirConditionerMode, Blind_Close, Light_Brightness"
181,181,1,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,10분마다 확인해서 온도가 30도 이상이면 에어컨을 쿨모드로 설정해줘.,False,0.0,0.901961,"unknown_services:AirConditionerMode_setAirConditionerMode,temperatureMeasurement_temperature","
if ((#TemperatureSensor).TemperatureSensor_Temperature >= 30) {

    (#AirConditioner).AirConditioner_SetAirConditionerMode(""cool"")

}","if ((#TemperatureSensor).temperatureMeasurement_temperature >= 30.0) {
  (#AirConditioner).AirConditionerMode_setAirConditionerMode(""cool"")
}","AirConditionerMode_setAirConditionerMode, temperatureMeasurement_temperature"
182,182,2,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,"30분마다 체크해서 온도가 20도 이상, 30도 미만이면 에어컨을 자동모드로 설정하고, 30도 이상이면 쿨모드로 설정해줘.",False,0.0,0.451745,unknown_services:AirConditionerMode_setAirConditionerMode,"
temp = (#TemperatureSensor).TemperatureSensor_Temperature

if (temp >= 20 and temp < 30) {

    (#AirConditioner).AirConditioner_SetAirConditionerMode(""auto"")

} else if (temp >= 30) {

    (#AirConditioner).AirConditioner_SetAirConditionerMode(""cool"")

}","currentTemp = (#TemperatureSensor).temperatureMeasurement_temperature
if (currentTemp >= 30.0) {
  (#AirConditioner).AirConditionerMode_setAirConditionerMode(""cool"")
} else if (currentTemp > 20.0 && currentTemp < 30.0) {
  (#AirConditioner).AirConditionerMode_setAirConditionerMode(""auto"")
}",AirConditionerMode_setAirConditionerMode
183,183,3,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,매일 자정에 도어락을 잠궈줘.,False,0.0,0.755556,unknown_services:lock,"
(#DoorLock).DoorLock_Lock()",(#DoorLock).lock(),lock
184,184,4,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,주말 오후 3시에 누수를 체크해서 감지되면 긴급 사이렌을 울려줘.,False,0.0,0.627451,"unknown_services:Siren_SoundAlarm,leakStatus","
if ((#LeakSensor).LeakSensor_Leakage == true) {

    (#Siren).Siren_SetSirenMode(""emergency"")
}","if ((#LeakSensor).leakStatus == ""detected"") {
  (#Siren).Siren_SoundAlarm()
}","Siren_SoundAlarm, leakStatus"
185,185,5,Local5080_qwen-7b_svc-v2.0.1,gpt_mg.version0_12,Local5080_qwen-7b_svc-v2.0.1,매일 아침 7시에 밥솥을 재가열 모드로 설정해줘.,False,0.0,0.844037,unknown_services:RiceCookerMode_setRiceCookerMode,"
(#RiceCooker).RiceCooker_SetRiceCookerMode(""reheating"")","(#RiceCooker).RiceCookerMode_setRiceCookerMode(""warm"")",RiceCookerMode_setRiceCookerMode
