index,category_analysis,selected,test_no,command,command_english,connected_devices,options,joi_gt,joi_pred_llama4:scout.dense,script_similarity_llama4:scout.dense,cloud_similarity_llama4:scout.dense,response_time_llama4:scout_dence [ms],connected_devices_dict,options_dict,response_time_korean,joi_pred_cloud_korean,response_time_english,joi_pred_cloud_english,cloud_similarity_cloud_korean,cloud_similarity_cloud_english,local_similarity
106,1,0,0,도어락을 닫아줘.,Close the door lock.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#DoorLock).doorControl_close()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#DoorLock).doorLockState_isDoorLock == false) {\\n(#DoorLock).doorLock_lock()\\n""}",0.463,,,,,,,,,0.0,0.0,
107,1,0,0,도어락을 열어줘.,Open the door lock.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#DoorLock).doorControl_open()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if (true) {\\n(#DoorLock).doorLockControl_openDoor()\\n""}",0.759,,,,,,,,,0.0,0.0,
108,9,1,0,이메일을 'test@example.com' 주소로 제목 '알림'과 내용 '긴급 상황입니다.'로 보내줘.,"Send an email to 'test@example.com' with the subject line ""Alert"" and the content ""This is an emergency"".",,"[
  {
    ""name"": ""me"",
    ""contact"": ""010-1234-5678"",
    ""email"": ""abcd1234@test.com"",
    ""birthday"": ""1991-03-03""
  },
  {
    ""name"": ""홍길동"",
    ""contact"": ""010-9999-8888"",
    ""email"": ""honggd@test.com"",
    ""birthday"": ""1988-07-15"",
    ""alternate_contact"": ""010-8888-7777""
  },
  {
    ""name"": ""김무개"",
    ""contact"": ""010-7777-6666"",
    ""email"": ""kim@example.com"",
    ""birthday"": ""1990-11-25""
  },
  {
    ""name"": ""장보고"",
    ""contact"": ""010-2222-3333"",
    ""email"": ""jangbogo@naver.com"",
    ""birthday"": ""1985-05-10"",
    ""alternate_contact"": ""010-4444-5555""
  }
]","{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#EmailProvider).emailProvider_sendMail(\""test@example.com\"", \""Alert\"", \""This is an emergency.\"")""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#Email).email_sendEmail(""}",0.708,0.0,,,"[{'name': 'me', 'contact': '010-1234-5678', 'email': 'abcd1234@test.com', 'birthday': '1991-03-03'}, {'name': '홍길동', 'contact': '010-9999-8888', 'email': 'honggd@test.com', 'birthday': '1988-07-15', 'alternate_contact': '010-8888-7777'}, {'name': '김무개', 'contact': '010-7777-6666', 'email': 'kim@example.com', 'birthday': '1990-11-25'}, {'name': '장보고', 'contact': '010-2222-3333', 'email': 'jangbogo@naver.com', 'birthday': '1985-05-10', 'alternate_contact': '010-4444-5555'}]",2.4719 seconds,"{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""(#EmailProvider).emailProvider_sendMail(\""test@example.com\"", \""알림\"", \""긴급상황입니다\"")""}",4.6106 seconds,"{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""(#EmailProvider).emailProvider_sendMail(\""test@example.com\"", \""Alert\"", \""This is an emergency\"")""}",0.7,0.95,0.857
109,2,0,0,선풍기의 전원이 켜져 있으면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the fan is powered on.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Fan).switch_switch == \""on\"") {\n(#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Fan).fan_isPowerOn() == true) {\\n(#Alarm).alarm_sirenOn()\\n""}",0.381,,,,,,,,,0.0,0.0,
110,2,0,0,선풍기의 속도가 2000RPM 이상이면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the fan speed is above 2000 RPM.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Fan).fanControl_fanSpeed >= 2000) {\n(#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Fan).fan_speed >= 2000) {\\n(#Alarm).alarm_siren_on()\\n""}",0.87,,,,,,,,,0.0,0.0,
111,1,0,0,선풍기의 속도를 1500RPM으로 설정해줘.,Set the speed of the fan to 1500 RPM.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Fan).fanControl_setFanSpeed(1500)""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#Fan).fanControl_setRPM(1500)""}",0.831,,,,,,,,,0.0,0.0,
112,1,0,0,선풍기의 속도를 80퍼센트로 설정해줘.,Set the speed of the fan to 80 percent.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Fan).fanControl_setPercent(80)""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#Fan).fanControl_setSpeed(80.0)""}",0.844,,,,,,,,,0.0,0.0,
113,1,0,0,선풍기를 꺼줘.,Turn off the fan.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Fan).switch_off()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Fan).fanState_status ==""}",0.391,,,,,,,,,0.0,0.0,
114,1,0,0,선풍기를 켜줘.,Turn on the fan.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Fan).switch_on()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#Fan).fanControl_turnOn()""}",0.545,,,,,,,,,0.0,0.0,
115,1,0,0,선풍기의 전원을 토글해줘.,Toggle the fan's power.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Fan).switch_toggle()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Fan).fanStatus_status ==""}",0.4,,,,,,,,,0.0,0.0,
116,2,0,0,사료 공급기의 전원이 켜져 있으면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the feeder is powered on.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Feeder).switch_switch == \""on\"") {\n(#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#FeedMachine).feedMachine_power == true) {\\n(#Alarm).alarm_siren_on()\\n""}",0.327,,,,,,,,,0.0,0.0,
117,2,0,0,사료 공급기의 상태가 급식 중이면 알람의 사이렌을 울려줘.,Sound the alarm siren if the feeder's status is feeding.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Feeder).feederOperatingState_feederOperatingState == \""feeding\"") {\n(#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Feeder).feederState_status ==""}",0.674,,,,,,,,,0.0,0.0,
118,1,0,0,사료 공급기를 꺼줘.,Turn off the feeder.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Feeder).switch_off()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#FeedController).feedController_isOn == true) {\\n(#FeedController).feedController_turnOff()\\n""}",0.298,,,,,,,,,0.0,0.0,
119,1,0,0,사료 공급기를 켜줘.,Turn on the feeder.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Feeder).switch_on()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#FeedController).feedController_operateOn()""}",0.492,,,,,,,,,0.0,0.0,
120,1,0,0,사료 공급기의 전원을 토글해줘.,Toggle the power of the feeder.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Feeder).switch_toggle()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#FeedController).feedController_togglePower()""}",0.563,,,,,,,,,0.0,0.0,
121,1,0,0,사료 공급기의 사료 공급량을 100그램으로 설정해줘.,Set the feeder's feed amount to 100 grams.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Feeder).feederPortion_setFeedPortion(100, \""grams\"")""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#FeedDispenser).feedDispenser_setFeedAmount(100)""}",0.659,,,,,,,,,0.0,0.0,
122,1,0,0,사료 공급기의 사료 공급을 시작해줘.,Start feeding the feeder.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Feeder).feederOperatingState_startFeeding()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#FeedDispenser).feedDispenser_startFeeding()""}",0.689,,,,,,,,,0.0,0.0,
123,2,0,0,가스 미터의 가스 사용량이 500kWh 이상이면 알람의 사이렌을 울려줘.,Sound the alarm siren if the gas meter shows gas usage of 500 kWh or more.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#GasMeter).gasMeter_gasMeter >= 500) {\n(#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#GasMeter).gasMeter_gasUsage >= 500) {\\n(#Alarm).alarm_siren_on()\\n""}",0.915,,,,,,,,,0.0,0.0,
124,2,0,0,가스 미터의 가스 발열량이 1000kcal 이상이면 알람의 사이렌을 울려줘.,Sound the alarm siren if the gas meter reads more than 1000 kcal of gas.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#GasMeter).gasMeter_gasMeterCalorific >= 1000) {\n(#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#GasMeter).gasMeter_heatValue >= 1000) {\\n(#Alarm).alarm_siren_on()\\n""}",0.851,,,,,,,,,0.0,0.0,
125,2,0,0,가스 미터의 누적 가스 사용 시간이 10000초 이상이면 알람의 사이렌을 울려줘.,Sound the siren of the alarm if the gas meter has a cumulative gas usage time of 10000 seconds or more.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#GasMeter).gasMeter_gasMeterTime >= 10000) {\n(#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#GasMeter).gasMeter_cumulativeGasTime >= 10000) {\\n(#Alarm).alarm_siren_on()\\n""}",0.863,,,,,,,,,0.0,0.0,
126,2,0,0,가스 미터의 가스 사용량이 20세제곱미터 이상이면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the gas meter reads more than 20 cubic meters of gas.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#GasMeter).gasMeter_gasMeterVolume >= 20) {\n(#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#GasMeter).gasMeter_gasUsage >= 20.0) {\\n(#Alarm).alarm_siren_on()\\n""}",0.859,,,,,,,,,0.0,0.0,
127,3,1,0,가스 밸브가 열려 있으면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the gas valve is open., ,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#GasValve).valve_valve == \""open\"") {\n(#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#GasValve).gasValve_isOpen == true) {\\n(#Alarm).alarm_sirenOn()\\n""}",0.5,0.0,,,,3.0973 seconds,"{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""\nif ((#GasValve).valve_valve == \""open\"") {\n(#Alarm).alarm_siren()\n}\n""}",5.4656 seconds,"{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""if ((#GasValve).valve_valve == \""open\"") {\n(#Alarm).alarm_siren()\n}""}",0.95,0.98,1.0
128,1,0,0,가스 밸브를 닫아줘.,Close the gas valve.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#GasValve).valve_close()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if (true) {\\n(#GasValve).gasValve_close()\\n""}",0.75,,,,,,,,,0.0,0.0,
129,1,0,0,가스 밸브를 열어줘.,Open the gas valve.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#GasValve).valve_open()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#GasValve).gasValve_open()""}",0.902,,,,,,,,,0.0,0.0,
130,2,0,0,가스 밸브의 가스 사용량이 1000kWh 이상이면 알람의 사이렌을 울려줘.,Sound the alarm siren if the gas valve's gas usage is over 1000 kWh.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#GasValve).gasMeter_gasMeter >= 1000) {\n(#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#GasUsage).gasUsage_currentUsage >= 1000) {\\n(#Alarm).alarm_sirenOn()\\n""}",0.746,,,,,,,,,0.0,0.0,
131,2,0,0,가스 밸브의 가스 발열량이 500kcal 이상이면 알람의 사이렌을 울려줘.,Sound the alarm siren if the gas valve has a gas calorific value of 500 kcal or more.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#GasValve).gasMeter_gasMeterCalorific >= 500) {\n(#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#GasValve).gasValve_heatValue >= 500) {\\n(#Alarm).alarm_siren_on()\\n""}",0.734,,,,,,,,,0.0,0.0,
132,2,0,0,가스 밸브의 누적 가스 사용 시간이 5000초 이상이면 알람의 사이렌을 울려줘.,Sound the alarm siren if the gas valve has a cumulative gas usage time of 5000 seconds or more.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#GasValve).gasMeter_gasMeterTime >= 5000) {\n(#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#GasValve).gasValve_cumulativeUsageTime >= 5000) {\\n(#Alarm).alarm_siren_on()\\n""}",0.808,,,,,,,,,0.0,0.0,
133,2,0,0,가스 밸브의 가스 사용량이 34세제곱미터 이상이면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the gas valve is using more than 34 cubic meters of gas.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#GasValve).gasMeter_gasMeterVolume >= 34) {\n(#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#GasUsage).gasUsage_currentUsage >= 34.0) {\\n(#Alarm).alarm_siren_on()\\n""}",0.705,,,,,,,,,0.0,0.0,
134,2,0,0,가습기의 전원이 켜져 있으면 알람의 사이렌을 울려줘.,Sound an alarm siren if the humidifier is powered on.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Humidifier).switch_switch == \""on\"") {\n(#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Humidifier).humidifierPower_isPowerOn == true) {\\n(#Alarm).alarm_siren_on()\\n""}",0.422,,,,,,,,,0.0,0.0,
135,2,0,0,가습기의 모드가 자동이면 알람의 사이렌을 울려줘.,Sound an alarm siren if the humidifier's mode is Auto.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Humidifier).humidifierMode_humidifierMode == \""auto\"") {\n(#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Humidifier).humidifier_mode ==""}",0.829,,,,,,,,,0.0,0.0,
136,1,0,0,가습기를 꺼줘.,Turn off the humidifier.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Humidifier).switch_off()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#Humidifier).humidifierOperatingState_stopHumidifying()""}",0.463,,,,,,,,,0.0,0.0,
137,1,0,0,가습기를 켜줘.,Turn on the humidifier.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Humidifier).switch_on()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#Humidifier).humidifierControl_on()""}",0.689,,,,,,,,,0.0,0.0,
138,1,0,0,가습기의 전원을 토글해줘.,Toggle the humidifier's power.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Humidifier).switch_toggle()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Humidifier).humidifierPowerStatus_powerStatus ==""}",0.444,,,,,,,,,0.0,0.0,
139,1,0,0,가습기를 강 모드로 설정해줘.,Set the humidifier to strong mode.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Humidifier).humidifierMode_setHumidifierMode(\""high\"")""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#Humidifier).humidifierMode_setHumidifierMode(""}",1.0,,,,,,,,,0.0,0.0,
140,2,0,0,습도 센서의 상대 습도가 70퍼센트 이상이면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the humidity sensor reads a relative humidity of 70 percent or higher.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#HumiditySensor).relativeHumidityMeasurement_humidity >= 70) {\n(#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#HumiditySensor).humiditySensor_relativeHumidity >= 70.0) {\\n(#Alarm).alarm_siren_on()\\n""}",0.77,,,,,,,,,0.0,0.0,
141,2,0,0,관개 장치의 전원이 켜져 있으면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the irrigator is powered on.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Irrigator).switch_switch == \""on\"") {\n(#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#PowerSupply).powerSupply_isOn == true) {\\n(#Alarm).alarm_siren_on()\\n""}",0.26,,,,,,,,,0.0,0.0,
142,2,0,0,관개 장치의 급수량이 3리터이면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the irrigator has 3 liters of water.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Irrigator).irrigatorPortion_waterPortion == 3) {\n(#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Irrigator).irrigatorOperatingState_waterAmount == 3) {\\n(#Alarm).alarm_siren_on()\\n""}",0.841,,,,,,,,,0.0,0.0,
143,2,0,0,관개 장치의 상태가 급수 중이면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the irrigator's status is watering.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Irrigator).irrigatorOperatingState_irrigatorOperatingState == \""watering\"") {\n(#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Irrigator).irrigatorOperatingState_status ==""}",0.796,,,,,,,,,0.0,0.0,
144,1,0,0,관개 장치를 꺼줘.,Turn off the irrigator.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Irrigator).switch_off()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Irrigator).irrigatorOperatingState_isOn == true) {\\n(#Irrigator).irrigatorOperatingState_stop()\\n""}",0.328,,,,,,,,,0.0,0.0,
145,1,0,0,관개 장치를 켜줘.,Turn on the irrigator.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Irrigator).switch_on()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#Irrigator).irrigatorOperatingState_startIrrigation()""}",0.513,,,,,,,,,0.0,0.0,
146,1,0,0,관개 장치의 전원을 토글해줘.,Toggle the power of the irrigator.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Irrigator).switch_toggle()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#IrrigationDevice).irrigationDevice_togglePower()""}",0.615,,,,,,,,,0.0,0.0,
147,1,0,0,관개 장치의 급수량을 5리터로 설정해줘.,Set the water supply of the irrigator to 5 liters.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Irrigator).irrigatorPortion_setWaterPortion(5, \""liters\"")""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#IrrigationController).irrigationController_setWateringVolume(5.0)""}",0.614,,,,,,,,,0.0,0.0,
148,1,1,0,관개 장치의 급수를 시작해줘.,Start watering the irrigator.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Irrigator).irrigatorOperatingState_startWatering()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#Irrigator).irrigatorOperatingState_startWatering()""}",1.0,0.0,,,,3.0937 seconds,"{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""(#Irrigator).irrigatorOperatingState_startWatering()""}",1.7855 seconds,"{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""(#Irrigator).irrigatorOperatingState_startWatering()""}",1.0,1.0,1.0
149,2,1,0,누수가 감지되면 알람의 사이렌을 울려줘.,Sound the alarm's siren if a leak is detected.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#LeakSensor).leakSensor_leakage == \""detected\"") {\n(#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#LeakDetector).leakDetector_isLeaking == true) {\\n(#Alarm).alarm_sirenOn()\\n""}",0.5,0.0,,,,4.7066 seconds,"{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""\nwait until((#LeakSensor).leakSensor_leakage == \""detected\"")\n(#Alarm).alarm_siren()\n""}",4.8682 seconds,"{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""wait until((#LeakSensor).leakSensor_leakage == \""detected\"")\n(#Alarm).alarm_siren()""}",0.8,0.8,0.826
150,2,0,0,조명이 켜져 있으면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the light is on.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Light).switch_switch == \""on\"") {\n(#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Light).switch_switch ==""}",1.0,,,,,,,,,0.0,0.0,
151,2,0,0,조명의 색조가 30이면 알람의 사이렌을 울려줘.,"If the light has a hue of 30, sound the alarm's siren.",,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Light).colorControl_hue == 30) {\n(#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Light).light_color == 30) {\\n(#Alarm).alarm_siren_on()\\n""}",0.825,,,,,,,,,0.0,0.0,
152,2,0,0,조명의 채도가 30이면 알람의 사이렌을 울려줘.,"If the light has a saturation of 30, sound the alarm's siren.",,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Light).colorControl_saturation == 30) {\n(#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Light).light_getBrightness() == 30) {\\n(#Alarm).alarm_siren_on()\\n""}",0.702,,,,,,,,,0.0,0.0,
153,2,0,0,조명 밝기가 100이면 알람의 사이렌을 울려줘,Sound the alarm's siren if the light brightness is 100,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#Light).switchLevel_level == 100) {\n(#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Light).brightness == 100) {\\n(#Alarm).sound_alarm()\\n""}",0.673,,,,,,,,,0.0,0.0,
154,1,1,0,조명을 빨간색으로 설정해줘.,Set the light to red.,"{ 'GreenhouseA_light_left_top_1': {'category': 'Light', 'tags': ['GreenhouseA', 'left_top', 'Light']}, 'GreenhouseA_light_center_1': {'category': 'Light', 'tags': ['GreenhouseA', 'center', 'Light']}}",,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Light).colorControl_setColor(\""255|0|0\"")""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#Light).lightSetting_setColor(""}",0.677,0.0,,"{'GreenhouseA_light_left_top_1': {'category': 'Light', 'tags': ['GreenhouseA', 'left_top', 'Light']}, 'GreenhouseA_light_center_1': {'category': 'Light', 'tags': ['GreenhouseA', 'center', 'Light']}}",,2.3990 seconds,"{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""(#Light).colorControl_setColor(\""RED|0|0\"")""}",0.9610 seconds,"{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""(#Light).colorControl_setColor(\""255|0|0\"")""}",0.8,1.0,0.917
155,1,0,0,조명의 색조를 70으로 설정해줘.,Set the hue of the light to 70.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Light).colorControl_setHue(70)""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#Light).lightSetting_setColorTemperature(70)""}",0.519,,,,,,,,,0.0,0.0,
156,1,0,0,조명의 채도를 90으로 설정해줘.,Set the saturation of the light to 90.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Light).colorControl_setSaturation(90)""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#Light).light_setBrightness(90)""}",0.592,,,,,,,,,0.0,0.0,
157,1,1,0,5의 속도로 조명의 밝기를 80으로 설정해줘.,Set the brightness of the light to 80 with a speed of 5.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Light).switchLevel_setLevel(80, 5)""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#Light).light_brightnessSet(80""}",0.508,0.0,,,,3.0077 seconds,"{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""(#Light).switchLevel_setLevel(80, 5)""}",1.7792 seconds,"{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""(#Light).switchLevel_setLevel(80,5)""}",1.0,1.0,1.0
158,1,0,0,조명의 경고 모드를 켜줘.,Turn on alert mode for lights.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Light).switchLevel_alert()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#Light).lightMode_warning()""}",0.464,,,,,,,,,0.0,0.0,
159,1,0,0,조명을 꺼줘.,Turn off the lights.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Light).switch_off()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Light).switch_switch ==""}",0.667,,,,,,,,,0.0,0.0,
160,1,0,0,조명을 켜줘.,Turn on the lights.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Light).switch_on()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""(#Light).switch_on()""}",1.0,,,,,,,,,0.0,0.0,
161,1,1,0,조명의 전원을 토글해줘.,Toggle the power of the light.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""(#Light).switch_toggle()""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#Light).switch_switch ==""}",0.667,0.0,,,,2.7082 seconds,"{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""(#Light).switch_toggle()""}",1.8147 seconds,"{""name"": ""Scenario1"",""cron"": """",""period"": -1,""code"": ""(#Light).switch_toggle()""}",1.0,1.0,1.0
162,2,0,0,조도 센서의 밝기 값이 500룩스 이상이면 알람의 사이렌을 울려줘.,Sound the alarm's siren if the light sensor's brightness value is above 500 lux.,,,"{""name"": ""Scenario1"", ""cron"": """", ""period"": -1, ""code"": ""if ((#LightSensor).lightLevel_light >= 500) {\n(#Alarm).alarm_siren()\n}""}","{""cron"": """", ""period"": ""-1"", ""code"": ""if ((#IlluminanceSensor).illuminanceSensor_illuminance >= 500) {\\n(#Alarm).alarm_siren_on()\\n""}",0.684,,,,,,,,,0.0,0.0,
