Index: 0,Service Name,Korean,English,Script,Command_O,Similarity
98,Light.switchLevel_levelRange,조명 스위치 레벨 범위를 알려줘.,Tell me the range light swith level range.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The light level range is ' + (#Light).switchLevel_levelRange
    (#Speaker).mediaPlayback_speak(script)
  ""
}",조명 밝기 범위를 알려줘.,0.9
99,Light.switchLevel_setLevel,회의실 조명의 밝기를 75로 설정해줘.,Set the brightness of the meeting room light to 75.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#meeting_room #Light).switchLevel_setLevel(75)
  ""
}",회의실의 조명을 75%로 조절해줘.,1.0
100,Light.switchLevel_alert,조명을 경고 모드로 설정해줘.,Set the light to alert mode.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Light).switchLevel_alert()
  ""
}",조명 밝기 상태를 알려줘.,0.2
101,LightSensor.lightLevel_light,조도 센서에서 밝기 레벨을 확인해줘.,Check the brightness level from the light sensor.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The current brightness level is ' + (#LightSensor).lightLevel_light + ' lux.'
    (#Speaker).mediaPlayback_speak(script)
  ""
}",현재 밝기 수준이 얼마인지 알려줘.,0.5
102,MenuProvider.menuProvider_menu,오늘 학생 식당의 점심 메뉴를 알려줘.,Tell me the lunch menu at the student cafeteria today.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    menu = (#MenuProvider).menuProvider_menu('오늘 학생식당 점심')
    script ='Today\\'s lunch menu at the student cafeteria is ' + menu
    (#Speaker).mediaPlayback_speak(script)
  ""
}
  ""
}",오늘 학생식당 점심 메뉴를 알려줘.,1.0
103,MenuProvider.menuProvider_todayMenu,오늘의 메뉴를 알려줘.,Tell me today's menu.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    todayMenu = (#MenuProvider).menuProvider_todayMenu()
    script ='Today\\'s menu is ' + todayMenu
    (#Speaker).mediaPlayback_speak(script)
  ""
}",오늘의 메뉴가 무엇인지 알려줘.,1.0
104,MenuProvider.menuProvider_todayPlace,오늘의 식당을 무작위로 추천해 줘.,Recommend today's restaurant randomly.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    place = (#MenuProvider).menuProvider_todayPlace()
    script ='Today\\'s recommended restaurant is ' + place
    (#Speaker).mediaPlayback_speak(script)
  ""
}",오늘 추천하는 식당이 어디인지 알려줘.,0.8
105,MotionSensor.motionSensor_motion,회의실의 모션 센서 상태를 확인해줘.,Check the status of the motion sensor in the meeting room.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The motion sensor status in the meeting room is ' + (#meeting_room #MotionSensor).motionSensor_motion
    (#meeting_room #Speaker).mediaPlayback_speak(script)
  ""
}",회의실의 모션 센서 상태를 알려줘.,1.0
106,PresenceSensor.presenceSensor_presence,회의실의 존재감 센서 상태를 확인해줘,Check the status of the presence sensor in the meeting room),"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The presence sensor status in the meeting room is ' + (#meeting_room #PresenceSensor).presenceSensor_presence
    (#meeting_room #Speaker).mediaPlayback_speak(script)
  ""
}",회의실의 존재 감지 센서 상태를 알려줘.,1.0
107,Refrigerator.switch_switch,냉장고 상태를 확인해줘.,Check the refrigerator status.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).mediaPlayback_speak((#Refrigerator).switch_switch)
  ""
}",냉장고의 전원 상태를 알려줘.,0.7
108,Refrigerator.switch_on,냉장고를 켜줘.,Turn on the refrigerator.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Refrigerator).switch_on()
  ""
}",냉장고를 켜줘.,1.0
109,Refrigerator.switch_off,냉장고를 꺼줘.,Turn off the refrigerator.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Refrigerator).switch_off()
  ""
}",냉장고를 꺼줘.,1.0
110,Refrigerator.switch_toggle,냉장고 스위치를 토글해줘.,Toggle the refrigerator switch.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Refrigerator).switch_toggle()
  ""
}",냉장고의 전원을 토글해줘.,1.0
111,Refrigerator.refrigeration_defrost,냉장고의 해동 상태를 확인해줘.,Check the status of the defrost in the refrigerator.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The status of the defrost is ' + (#Refrigerator).refrigeration_defrost
    (#Speaker).mediaPlayback_speak(script)
  ""
}",냉장고의 성에 제거 상태를 알려줘.,0.5
112,Refrigerator.refrigeration_rapidCooling,냉장고의 급속냉각 상태를 확인해줘.,Check the status of the rapid cooling in the refrigerator.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The status of the rapid cooling is ' + (#Refrigerator).refrigeration_rapidCooling
    (#Speaker).mediaPlayback_speak(script)
  ""
}",냉장고의 급속 냉각 상태를 알려줘.,1.0
113,Refrigerator.refrigeration_rapidFreezing,냉장고의 급속냉동 상태를 확인해줘.,Check the status of the rapid freezing in the refrigerator.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The status of the rapid freezing is ' + (#Refrigerator).refrigeration_rapidFreezing
    (#Speaker).mediaPlayback_speak(script)
  ""
}",급속 냉동 상태가 어떤지 알려줘.,0.9
114,Refrigerator.refrigeration_setDefrost,냉장고의 제상 기능을 켜줘.,Turn on the defrost function of the refrigerator.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Refrigerator).refrigeration_setDefrost('on')
  ""
}",냉장고의 성에 제거 기능을 켜줘.,1.0
115,Refrigerator.refrigeration_setRapidCooling,냉장고의 급속냉각 기능을 켜줘.,Turn on the rapid cooling of the refrigerator.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Refrigerator).refrigeration_setRapidCooling('on')
  ""
}",냉장고를 급속 냉각 모드로 설정해줘.,1.0
116,Refrigerator.refrigeration_setRapidFreezing,급속 냉동 기능을 켜줘.,Turn on the rapid freezing function.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Refrigerator).refrigeration_setRapidFreezing('on')
  ""
}",냉장고의 급속 냉동 기능을 켜줘.,0.9
117,RobotCleaner.switch_switch,로봇 청소기 상태를 확인해줘.,Check the robot cleaner status.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).mediaPlayback_speak((#RobotCleaner).switch_switch)
  ""
}",로봇 청소기 상태를 알려줘.,1.0
118,RobotCleaner.switch_on,로봇 청소기를 켜줘.,Turn on the robot cleaner.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#RobotCleaner).switch_on()
  ""
}",로봇 청소기를 켜줘.,1.0
119,RobotCleaner.switch_off,로봇 청소기를 꺼줘.,Turn off the robot cleaner.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#RobotCleaner).switch_off()
  ""
}",로봇 청소기를 꺼줘.,1.0
120,RobotCleaner.switch_toggle,로봇 청소기의 스위치를 토글해줘.,Toggle the switch of the robot cleaner.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#RobotCleaner).switch_toggle()
  ""
}",로봇 청소기를 토글해줘.,1.0
121,RobotCleaner.robotCleanerCleaningMode_robotCleanerCleaningMode,로봇 청소기 모드를 확인해줘.,Check the robot cleaner mode.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The current robot cleaner cleaning mode is ' + (#RobotCleaner).robotCleanerCleaningMode_robotCleanerCleaningMode + ' mode.'
		(#Speaker).mediaPlayback_speak(script)
  ""
}",로봇 청소기의 현재 청소 모드를 알려줘.,1.0
122,RobotCleaner.robotCleanerCleaningMode_setRobotCleanerCleaningMode,로봇 청소기를 자동 모드로 설정해줘.,Set the robot cleaner to auto mode.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#RobotCleaner).robotCleanerCleaningMode_setRobotCleanerCleaningMode('auto')
  ""
}",로봇 청소기를 자동 모드로 설정해줘.,1.0
123,Shade.windowShadeLevel_shadeLevel,회의실의 그늘 수준을 확인해줘.,Check the meeting room shade level.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The current shade level is ' + (#meeting_room #Shade).windowShadeLevel_shadeLevel
    (#Speaker).mediaPlayback_speak(script)
  ""
}",회의실의 블라인드의 현재 블라인드 레벨을 알려줘.,0.8
124,Shade.windowShadeLevel_setShadeLevel,회의실 창문 블라인드를 50%로 설정해줘.,Set the meeting room window shade to 50%.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#meeting_room #Shade).windowShadeLevel_setShadeLevel(50)
  ""
}",회의실의 블라인드를 50%로 조절해줘.,0.95
125,Shade.windowShade_windowShade,회의실 창문 블라인드 상태를 확인해줘.,Check the meeting room window shade state.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The current shade state is ' + (#meeting_room #Shade).windowShade_windowShade
    (#Speaker).mediaPlayback_speak(script)
  ""
}",회의실의 블라인드 상태가 어떤지 알려줘.,1.0
126,Shade.windowShade_supportedWindowShadeCommands,회의실 창 블라인드에 지원되는 명령어 목록을 알려줘.,Tell me the list of supported commands for the meeting room window shade.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).mediaPlayback_speak((#meeting_room #Shade).windowShade_supportedWindowShadeCommands)
  ""
}",회의실 블라인드가 지원하는 명령어 목록을 알려줘.,1.0
127,Shade.windowShade_open,창문 블라인드를 열어줘.,Open the window shade.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Shade).windowShade_open()
  ""
}",창문 블라인드를 열어줘.,1.0
128,Shade.windowShade_close,회의실의 창문 블라인드를 내려줘.,Close the window shade in the meeting room.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#meeting_room #Shade).windowShade_close()
  ""
}",회의실의 블라인드를 닫아줘.,0.9
129,Shade.windowShade_pause,창문 블라인드를 잠시 내려줘.,Pause the window shade.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Shade).windowShade_pause()
  ""
}",블라인드를 일시 정지해줘.,0.5
130,Siren.switch_switch,사이렌 상태를 확인해줘.,Check the siren status.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).mediaPlayback_speak((#Siren).switch_switch)
  ""
}",사이렌이 켜져 있는지 알려줘.,0.9
131,Siren.switch_on,사이렌을 켜줘.,Turn on the siren.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Siren).switch_on()
  ""
}",사이렌을 켜줘.,1.0
132,Siren.switch_off,사이렌을 꺼줘.,Turn off the siren.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Siren).switch_off()
  ""
}",사이렌을 꺼줘.,1.0
133,Siren.switch_toggle,사이렌을 토글해줘.,Toggle the siren on or off.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Siren).switch_toggle()
  ""
}",사이렌을 토글해줘.,1.0
134,Siren.sirenMode_sirenMode,사이렌 모드를 확인해줘.,Check the siren mode.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The current siren mode is ' + (#Siren).sirenMode_sirenMode 
    (#Speaker).mediaPlayback_speak(script)
  ""
}",사이렌 모드를 알려줘.,1.0
135,Siren.sirenMode_setSirenMode,사이렌을 사이렌 모드로 설정해줘.,Set the siren to siren mode.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Siren).sirenMode_setSirenMode('siren')
  ""
}",사이렌을 경고 모드로 설정해줘.,1.0
136,SmartPlug.currentMeasurement_current,스마트 플러그의 전류를 측정해줘.,Measure the current from the smart plug.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The current measured from the smart plug is ' + (#SmartPlug).currentMeasurement_current + ' amperes.'
    (#Speaker).mediaPlayback_speak(script)
  ""
}",스마트 플러그에서 측정한 전류를 알려줘.,1.0
137,SmartPlug.switch_switch,스마트플러그 상태를 확인해줘.,Check the smartplug status.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).mediaPlayback_speak((#SmartPlug).switch_switch)
  ""
}",스마트 플러그의 스위치 상태를 알려줘.,0.9
138,SmartPlug.switch_on,스마트 플러그를 켜줘.,Turn on the smart plug.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#SmartPlug).switch_on()
  ""
}",스마트 플러그를 켜줘.,1.0
139,SmartPlug.switch_off,스마트 플러그를 꺼줘.,Turn off the smart plug.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#SmartPlug).switch_off()
  ""
}",스마트 플러그 꺼줘.,1.0
140,SmartPlug.switch_toggle,스피커를 토글해줘.,Turn the speaker on or off.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#SmartPlug).switch_toggle()
  ""
}",스마트 플러그를 토글해줘.,0.2
141,SmartPlug.voltageMeasurement_voltage,스마트 플러그의 전압을 측정해줘.,Measure the voltage of the smart plug.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The current voltage is ' + (#SmartPlug).voltageMeasurement_voltage + ' volts.'
    (#Speaker).mediaPlayback_speak(script)
  ""
}",현재 전압이 몇 볼트인지 알려줘.,0.5
142,SmartPlug.powerMeter_power,현재 전력 소비량을 알려줘.(와트),Tell me the current power consumption. (watts),"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The current power consumption is ' + (#SmartPlug).powerMeter_power + ' watts.'
    (#Speaker).mediaPlayback_speak(script)
  ""
}",스마트 플러그의 현재 전력 소비량을 알려줘.,0.8
143,SmartPlug.powerMeter_powerConsumption,총 전력 소비량(Wh),total power comsumption (Wh),"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The power consumption of the smart plug is ' + (#SmartPlug).powerMeter_powerConsumption + ' Wh.'
    (#Speaker).mediaPlayback_speak(script)
  ""
}",스마트 플러그의 전력 소비량을 알고 싶어.,0.0
144,SmokeDetector.smokeDetector_smoke,연기 감지기로 연기를 확인해줘.,Check if the smoke is detected.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).mediaPlayback_speak((#SmokeDetector).smokeDetector_smoke)
  ""
}",연기 감지기의 상태를 알려줘.,1.0
145,SoundSensor.soundSensor_sound,소리가 감지되는지 확인해줘.,Check if the sound is detected.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).mediaPlayback_speak((#SoundSensor).soundSensor_sound)
  ""
}",소리 센서의 소리 상태를 알려줘.,1.0
146,SoundSensor.soundPressureLevel_soundPressureLevel,사운드 센서의 음압 레벨을 확인해줘.,Check the sound pressure level of the sound sensor.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The sound pressure level is ' + (#SoundSensor).soundPressureLevel_soundPressureLevel
    (#Speaker).mediaPlayback_speak(script)
  ""
}",소음 압력 수준을 알려줘.,0.9
147,Speaker.switch_switch,스피커 상태를 확인해줘.,Check the speaker status.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).mediaPlayback_speak((#Speaker).switch_switch)
  ""
}",스피커의 전원 상태를 알려줘.,0.9
148,Speaker.switch_on,스피커를 켜줘.,Turn on the speaker.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).switch_on()
  ""
}",스피커를 켜줘.,1.0
149,Speaker.switch_off,스피커를 꺼줘.,Turn off the speaker.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).switch_off()
  ""
}",스피커 꺼줘.,1.0
150,Speaker.switch_toggle,스피커를 토글해줘.,Toggle the speaker.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).switch_toggle()
  ""
}",스피커를 토글해줘.,1.0
151,Speaker.mediaPlayback_playbackStatus,스피커의 미디어 재생 상태를 확인해줘.,Check the media playback status of the speaker.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The media playback status is ' + (#Speaker).mediaPlayback_playbackStatus
    (#Speaker).mediaPlayback_speak(script)
  ""
}",스피커의 미디어 재생 상태를 알려줘.,1.0
152,Speaker.mediaPlayback_supportedPlaybackCommands,스피커에서 지원되는 미디어 재생 명령을 알려줘.,Tell me the supported media playback commands on the speaker.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).mediaPlayback_speak((#Speaker).mediaPlayback_supportedPlaybackCommands)
  ""
}",스피커가 지원하는 미디어 재생 명령어를 알려줘.,1.0
153,Speaker.mediaPlayback_play,스피커로 음악을 재생해줘.,Play music on the speaker.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).mediaPlayback_play('The source of the media playback')
  ""
}",스피커에서 'The source of the media playback'를 재생해줘.,0.9
154,Speaker.mediaPlayback_stop,스피커에서 미디어 재생을 중지해줘.,Stop the media playback on the speaker.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).mediaPlayback_stop()
  ""
}",스피커의 미디어 재생을 멈춰줘.,1.0
155,Speaker.mediaPlayback_pause,스피커에서 미디어 재생을 일시 중지해줘.,Pause the media playback on the speaker.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).mediaPlayback_pause()
  ""
}",스피커의 미디어 재생을 일시 정지해줘.,1.0
156,Speaker.mediaPlayback_fastForward,스피커에서 미디어 재생을 빠르게 전달해줘.,Fast forward the media playback on the speaker.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).mediaPlayback_fastForward()
  ""
}",스피커의 미디어 재생을 빨리 감기해줘.,1.0
157,Speaker.mediaPlayback_rewind,스피커에서 미디어 재생을 되감습니다.,Rewind the media playback on the speaker.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).mediaPlayback_rewind()
  ""
}",스피커의 미디어 재생을 되감아줘.,1.0
158,Speaker.mediaPlayback_setPlaybackStatus,스피커의 재생 상태를 일시 정지로 설정해줘.,Set the speaker's playback status to paused.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).mediaPlayback_setPlaybackStatus('paused')
  ""
}",스피커의 재생 상태를 일시정지해줘.,1.0
159,Speaker.mediaPlayback_speak,"화자에게 ""안녕해줘, 오늘 날씨는 맑습니다.""라고 말하라고 해줘.","Tell the speaker to say ""Hello, today's weather is clear.”","{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).mediaPlayback_speak('Hello, today's weather is clear.')
  ""
}",오늘 날씨가 맑은지 알려줘.,0.0
160,Recorder.audioRecord_recordStatus,오디오 녹음기의 현재 상태를 확인해줘.,Check the current status of the audio recorder.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The current status of the audio recorder is ' + (#Recorder).audioRecord_recordStatus
    (#Speaker).mediaPlayback_speak(script)
  ""
}",오디오 녹음기의 현재 상태를 알려줘.,1.0
161,Recorder.audioRecord_record,5분 동안 'recording.wav'에 오디오를 녹음해줘.,Record audio to 'recording.wav' for 5 minutes.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Recorder).audioRecord_record('recording.wav', 300)
  ""
}",300초 동안 'recording.wav' 파일에 오디오를 녹음해줘.,1.0
162,Recorder.switch_switch,레코더 상태를 확인해줘.,Check the recorder status.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).mediaPlayback_speak((#Recorder).switch_switch)
  ""
}",녹음기의 스위치 상태를 알려줘.,0.9
163,Recorder.switch_on,녹음기를 켜줘.,Turn on the recorder.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Recorder).switch_on()
  ""
}",녹음기를 켜줘.,1.0
164,Recorder.switch_off,녹음기를 꺼줘.,Turn off the recorder.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Recorder).switch_off()
  ""
}",녹음기를 꺼줘.,1.0
165,Recorder.switch_toggle,녹음기를 토글해줘.,Toggle the recorder on or off.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Recorder).switch_toggle()
  ""
}",녹음기를 토글해줘.,1.0
166,Switch.switch_switch,스위치 상태를 확인해줘.,Check the switch status.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""    
    (#Speaker).mediaPlayback_speak((#Switch).switch_switch)
  ""
}",스위치 상태를 알려줘.,1.0
167,Switch.switch_on,스위치를 켜줘.,Turn on the switch.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Switch).switch_on()
  ""
}",스위치를 켜줘.,1.0
168,Switch.switch_off,스위치를 꺼줘.,Turn off the switch.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Switch).switch_off()
  ""
}",스위치를 꺼줘.,1.0
169,Switch.switch_toggle,스위치를 토글해줘.,Toggle the switch.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Switch).switch_toggle()
  ""
}",스위치를 토글해줘.,1.0
170,Television.switch_switch,텔레비전 상태를 확인해줘.,Check the television status.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).mediaPlayback_speak((#Television).switch_switch)
  ""
}",텔레비전의 전원 상태를 알려줘.,0.9
171,Television.switch_on,텔레비전을 켜줘.,Turn on the television.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Television).switch_on()
  ""
}",텔레비전을 켜줘.,1.0
172,Television.switch_off,텔레비전을 꺼줘.,Turn off the television.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Television).switch_off()
  ""
}",텔레비전을 꺼줘.,1.0
173,Television.switch_toggle,텔레비전을 토글해줘.,Toggle the television on or off.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Television).switch_toggle()
  ""
}",텔레비전을 토글해줘.,1.0
174,Television.tvChannel_tvChannel,TV 채널을 5로 설정해줘.,Set the TV channel to 5.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Television).tvChannel_tvChannel(5)
  ""
}",텔레비전 5번 채널로 바꿔줘.,1.0
175,Television.tvChannel_tvChannelName,TV 채널 이름을 알려줘.,Tell me the TV channel name.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Speaker).mediaPlayback_speak((#Television).tvChannel_tvChannelName)
  ""
}",현재 TV 채널 이름을 알려줘.,1.0
176,Television.tvChannel_channelUp,TV 채널을 하나 위로 올려줘.,Move the TV channel up by one.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Television).tvChannel_channelUp()
  ""
}",텔레비전 채널을 올려줘.,0.9
177,Television.tvChannel_channelDown,TV 채널을 1단계 아래로 내려줘.,Move the TV channel down by 1.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Television).tvChannel_channelDown()
  ""
}",텔레비전 채널을 내려줘.,0.8
178,Television.tvChannel_setTvChannel,TV 채널을 5로 설정해줘.,Set the TV channel to 5.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Television).tvChannel_setTvChannel(5)
  ""
}",텔레비전 채널을 5번으로 맞춰줘.,1.0
179,Television.tvChannel_setTvChannelName,"TV 채널을 ""KBS""로 설정해줘.","Set the TV channel to ""KBS"".","{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Television).tvChannel_setTvChannelName('KBS')
  ""
}",텔레비전 채널을 KBS로 바꿔줘.,1.0
180,Television.audioMute_muteStatus,TV의 음소거 상태를 확인해줘.,Check the mute status of the television.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The television is currently ' + (#Television).audioMute_muteStatus
    (#Speaker).mediaPlayback_speak(script)
  ""
}",텔레비전 음소거 상태가 어떤지 알려줘.,1.0
181,Television.audioMute_mute,TV를 음소거로 설정해줘.,Set the TV to mute.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Television).audioMute_mute()
  ""
}",텔레비전 음소거해줘.,1.0
182,Television.audioMute_unmute,TV 음소거를 해제해줘.,Unmute the television.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Television).audioMute_unmute()
  ""
}",텔레비전 음소거를 토글해줘.,0.8
183,Television.audioMute_setMute,TV의 오디오 음소거 상태를 '음소거'로 설정해줘.,Set the television's audio mute state to 'muted'.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Television).audioMute_setMute('muted')
  ""
}",텔레비전 음소거해줘.,0.9
184,Television.audioVolume_volume,TV의 현재 볼륨을 확인해줘.,Check the current volume of the TV.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The current volume of the TV is ' + (#Television).audioVolume_volume
    (#Speaker).mediaPlayback_speak(script)
  ""
}",텔레비전의 현재 볼륨을 알려줘.,1.0
185,Television.audioVolume_setVolume,TV 볼륨을 15로 설정해줘.,Set the TV volume to 15.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Television).audioVolume_setVolume(15)
  ""
}",텔레비전 볼륨 15로 설정해줘.,1.0
186,Television.audioVolume_volumeUp,TV 볼륨을 1만큼 높여줘.,Increase the TV volume by 1.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Television).audioVolume_volumeUp()
  ""
}",텔레비전 소리를 키워줘.,0.8
187,Television.audioVolume_volumeDown,TV 볼륨을 1단계 낮춰줘.,Turn the TV volume down by 1.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    (#Television).audioVolume_volumeDown()
  ""
}",텔레비전 소리를 줄여줘.,0.9
188,TemperatureSensor.temperatureMeasurement_temperature,온도 센서로부터 현재 온도를 측정해줘.,Measure the current temperature from the temperature sensor.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The current temperature is ' + (#TemperatureSensor).temperatureMeasurement_temperature
    (#Speaker).mediaPlayback_speak(script)
  ""
}",현재 온도를 알려줘.,0.7
189,TemperatureSensor.temperatureMeasurement_temperatureRange,온도 범위(DICT 유형),temperature range(DICT type),"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The current temperature range is ' + (#TemperatureSensor).temperatureMeasurement_temperatureRange
    (#Speaker).mediaPlayback_speak(script)
  ""
}",현재 온도 범위를 알려줘.,0.5
190,WeatherProvider.weatherProvider_temperatureWeather,현재 기온을 알려줘.,Tell me the current temperature.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The current temperature is ' + (#WeatherProvider).weatherProvider_temperatureWeather
    (#Speaker).mediaPlayback_speak(script)
  ""
}",현재 온도가 어떻게 되는지 알려줘.,1.0
191,WeatherProvider.weatherProvider_pressureWeather,현재 압력 수준을 알려줘.,Tell me the current pressure level.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The current pressure level is ' + (#WeatherProvider).weatherProvider_pressureWeather
    (#Speaker).mediaPlayback_speak(script)
  ""
}",현재 기압 수준을 알려줘.,1.0
192,WeatherProvider.weatherProvider_pm25Weather,현재 PM2.5 수준을 알려줘.,Tell me the current PM2.5 level.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The current PM2.5 level is ' + (#WeatherProvider).weatherProvider_pm25Weather
    (#Speaker).mediaPlayback_speak(script)
  ""
}",현재 PM2.5 수치를 알려줘.,1.0
193,WeatherProvider.weatherProvider_pm10Weather,현재 PM10 수치를 알려줘.,Tell me the current PM10 level.,"{
  ""cron"": """",
  ""period"": -1,
  ""script"": ""
    script ='The current PM10 level is ' + pm10_(#WeatherProvider).weatherProvider_pm10Weatherlevel
    (#Speaker).mediaPlayback_speak(script)
  ""
}",현재 PM10 수치를 알려줘.,1.0
